회사명,거래소코드,회계년도,[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원)
(주)셀젠텍,258250,2016/12,,,178,,,,178,592550,178,0
(주)셀젠텍,258250,2017/12,,,213,,,,213,811801,213,0
(주)셀젠텍,258250,2018/12,,,266,,,,266,1030844,266,0
(주)셀젠텍,258250,2019/12,,,144,,,,144,561767,144,0
(주)셀젠텍,258250,2020/12,,385,385,,385,,385,1551009,385,0
(주)셀젠텍,258250,2021/12,,472,472,,472,,472,2106524,472,0
(주)셀젠텍,258250,2022/12,,321,321,,321,,321,1444928,321,0
(주)수프로,185190,2014/03,,,629,,,,629,209000,629,0
(주)수프로,185190,2015/03,,,40,,,,40,131964,40,0
(주)수프로,185190,2016/03,,,45,,,,45,150763,45,0
(주)수프로,185190,2017/03,,,-581,,,,-581,-1917582,-581,0
(주)수프로,185190,2018/03,,,107,,,,107,365717,107,0
(주)수프로,185190,2019/03,,,-172,,,,-172,-606188,-172,0
(주)수프로,185190,2020/03,,-112,-112,,-112,,-112,-412119,-112,0
(주)수프로,185190,2021/03,,195,195,,195,,195,722225,195,0
(주)수프로,185190,2022/03,,145,145,,145,,145,537413,145,0
(주)수프로,185190,2023/03,,51,51,,51,,51,471406,51,0
(주)썬테크,217320,2015/12,,,198,,,,198,206893,198,0
(주)썬테크,217320,2016/12,,,423,,,,423,445875,423,0
(주)썬테크,217320,2017/12,,,151,,,,151,234279,151,0
(주)썬테크,217320,2018/12,,,-1550,,,,-1550,-1627118,-1550,0
(주)썬테크,217320,2019/12,,,-316,,,,-316,-331478,-316,0
(주)썬테크,217320,2020/12,,,83,,,,83,138219,83,0
(주)썬테크,217320,2021/12,,,301,,,,301,447217,301,0
(주)썬테크,217320,2022/12,,,-396,,,-377,-396,-395541,-396,0
(주)씨알푸드,236030,2017/12,,,772,,,,768,1539002,768,0
(주)씨알푸드,236030,2018/12,,,156,,,,156,348475,156,0
(주)씨알푸드,236030,2019/12,,,131,,,,131,258438,131,0
(주)씨알푸드,236030,2020/12,,,-1321,,,,-1321,-2614618,-1321,0
(주)씨알푸드,236030,2021/12,,,-838,,,,-838,-1659137,-838,0
(주)씨알푸드,236030,2022/12,,,-1854,,,,-1854,-3671205,-1854,0
(주)씨앗,103660,2015/12,,,-1166,,,,-1166,-1488734,-847,0
