,회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(순금융비용),[U01250010]   이자비용(천원),[U01230000]영업이익(손실)(천원)
171,(주)나노브릭,286750,2019/12,-3.38,-0.85,447474.0,-1512606.0
172,(주)나노브릭,286750,2020/12,0.4,0.21,168495.0,67221.0
173,(주)나노브릭,286750,2021/12,-4.84,-9.42,337790.0,-1635040.0
174,(주)나노브릭,286750,2022/12,-3.44,-2.35,1042716.0,-3582367.0
175,(주)나노신소재,121600,2012/12,-1.99,-23.05,301688.0,-599483.0
176,(주)나노신소재,121600,2013/12,4.21,5.7,323234.0,1360266.0
177,(주)나노신소재,121600,2014/12,24.39,58.71,149230.0,3639250.0
178,(주)나노신소재,121600,2015/12,87.38,242.57,104880.0,9164440.0
179,(주)나노신소재,121600,2016/12,122.68,999999999.0,51434.0,6310057.0
180,(주)나노신소재,121600,2017/12,114.29,999999999.0,74432.0,8506727.0
181,(주)나노신소재,121600,2018/12,126.66,999999999.0,68372.0,8659691.0
182,(주)나노신소재,121600,2019/12,43.65,999999999.0,118940.0,5191475.0
183,(주)나노신소재,121600,2020/12,10.1,999999999.0,155240.0,1567186.0
184,(주)나노신소재,121600,2021/12,27.12,508.82,236529.0,6413980.0
185,(주)나노신소재,121600,2022/12,49.86,999999999.0,329699.0,16439447.0
186,(주)나래나노텍,137080,2022/12,1.34,3.3,1351176.0,1806486.0
187,(주)나이벡,138610,2012/12,-2.68,-3.8,300090.0,-805135.0
188,(주)나이벡,138610,2013/12,-5.06,-5.85,520824.0,-2637399.0
189,(주)나이벡,138610,2014/12,-5.51,-5.99,548640.0,-3024927.0
190,(주)나이벡,138610,2015/12,-3.41,-4.7,463811.0,-1583717.0
191,(주)나이벡,138610,2016/12,-3.51,-3.64,712937.0,-2499774.0
192,(주)나이벡,138610,2017/12,-1.81,-3.23,623620.0,-1128739.0
193,(주)나이벡,138610,2018/12,-4.64,-4.86,733694.0,-3402362.0
194,(주)나이벡,138610,2019/12,-2.23,-5.94,431560.0,-960252.0
195,(주)나이벡,138610,2020/12,-15.18,-39.64,198413.0,-3011681.0
196,(주)나이벡,138610,2021/12,-1.15,-2.21,1827306.0,-2108203.0
197,(주)나이벡,138610,2022/12,0.26,-1.13,2498006.0,645669.0
198,(주)나인테크,267320,2017/12,,,,
199,(주)나인테크,267320,2018/12,,,,
200,(주)나인테크,267320,2019/12,,,,
201,(주)나인테크,267320,2020/12,6.99,-0.55,471216.0,3293451.0
202,(주)나인테크,267320,2021/12,-5.53,-5.21,1379398.0,-7633905.0
203,(주)나인테크,267320,2022/12,1.23,1.14,2359930.0,2894495.0
204,(주)남성,4270,2012/12,0.96,1.57,4051250.0,3883950.0
205,(주)남성,4270,2013/12,0.96,1.68,3294806.0,3152255.0
206,(주)남성,4270,2014/12,1.35,0.94,2596783.0,3517751.0
207,(주)남성,4270,2015/12,1.29,1.86,2860566.0,3677218.0
208,(주)남성,4270,2016/12,1.25,1.57,3284079.0,4118637.0
