회사명,거래소코드,회계년도,종가(원),현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주),[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원)
(주)나눔테크,244880,2022/12,,5020000,0,5020000,5020000,5020000,,,,,,,,,3120,3120,3120,3120,3120,3120,,,,,17406,,17405912,,,2252,,,,2252183,,,14101,,,,14101351
(주)나눔테크,244880,2022/12,,5986000,966000,5020000,5020000,5020000,,,,,,,,,3120,3120,3120,3120,3120,3120,,,,,17406,,17405912,,,2252,,,,2252183,,,14101,,,,14101351
(주)나눔테크,244880,2022/12,,966000,966000,0,5020000,5020000,,,,,,,,,3120,3120,3120,3120,3120,3120,,,,,17406,,17405912,,,2252,,,,2252183,,,14101,,,,14101351
(주)나라소프트,288490,2018/12,,24770000,0,24770000,24770000,24770000,,,,,,,,,420,420,420,420,420,420,,,,,1228,,1227697,,,756,,,,755785,,,3264,,,,3264397
(주)나라소프트,288490,2018/12,,24770000,0,24770000,24770000,24770000,,,,,,,,,420,420,420,420,420,420,,,,,1228,,1227697,,,756,,,,755785,,,3264,,,,3264397
(주)나라소프트,288490,2019/12,,26410000,0,26410000,26410000,26410000,,,,,,,,,-3495,-3495,-3495,-3495,-3495,-3495,,,,,-667,,-666747,,,-1204,,,,-1204428,,,1778,,,,1777578
(주)나라소프트,288490,2019/12,,26410000,0,26410000,26410000,26410000,,,,,,,,,-3495,-3495,-3495,-3495,-3495,-3495,,,,,-667,,-666747,,,-1204,,,,-1204428,,,1778,,,,1777578
(주)나라소프트,288490,2020/12,,30480000,0,30480000,30480000,30480000,,,,,1098,1098,1098,1098,1098,1098,0,1098,1098,1098,,,4555,4554616,4555,,4554616,,-1298,-1298,,-1297725,,-1297725,,3378,3378,,3377734,,3377734
(주)나라소프트,288490,2020/12,,30480000,0,30480000,30480000,30480000,,,,,1098,1098,1098,1098,1098,1098,0,1098,1098,1098,,,4555,4554616,4555,,4554616,,-1298,-1298,,-1297725,,-1297725,,3378,3378,,3377734,,3377734
(주)나라소프트,288490,2021/12,,36897000,0,36897000,36897000,36897000,,,,,-2093,-2093,-2093,-2093,-2093,-2093,-2093,-2093,-2093,-2093,,,252,251710,252,,251710,,-1002,-1002,,-1001517,,-1001517,,250,250,,249573,,249573
