,회사명,거래소코드,회계년도,[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01440000]투자활동으로 인한 현금흐름(*)(천원),[U01450000]재무활동으로 인한 현금흐름(*)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01440000]투자활동으로 인한 현금흐름(*)(연결)(천원),[U01450000]재무활동으로 인한 현금흐름(*)(연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(IFRS)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(비교)(IFRS)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(비교)(IFRS)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),[U01D200000000]투자활동으로 인한 현금흐름(*)(비교)(IFRS연결)(천원),[U01D300000000]재무활동으로 인한 현금흐름(*)(비교)(IFRS연결)(천원)
80,(주)데이터스트림즈,199150,2017/12,279363.0,-273973.0,0.0,-863.0,33650.0,0.0,279363.0,-273973.0,0.0,279363.0,-273973.0,0.0,-863.0,33650.0,0.0,-863.0,33650.0,0.0
81,(주)데이터스트림즈,199150,2018/12,-1320302.0,136217.0,0.0,-1651875.0,612273.0,0.0,-1320302.0,136217.0,0.0,-1320302.0,136217.0,0.0,-1651875.0,612273.0,0.0,-1651875.0,612273.0,0.0
82,(주)데이터스트림즈,199150,2019/12,1465401.0,-368593.0,-139452.0,1041305.0,-193505.0,-139452.0,1465401.0,-368593.0,-139452.0,1465401.0,-368593.0,-139452.0,1041305.0,-193505.0,-139452.0,1041305.0,-193505.0,-139452.0
83,(주)데이터스트림즈,199150,2020/12,3476495.0,-2124152.0,-181863.0,3147562.0,-1777866.0,-181863.0,3476495.0,-2124152.0,-181863.0,3476495.0,-2124152.0,-181863.0,3147562.0,-1777866.0,-181863.0,3147562.0,-1777866.0,-181863.0
84,(주)데이터스트림즈,199150,2021/12,759241.0,577554.0,117516.0,518914.0,833571.0,117516.0,759241.0,577554.0,117516.0,759241.0,577554.0,117516.0,518914.0,833571.0,117516.0,518914.0,833571.0,117516.0
85,(주)데이터스트림즈,199150,2022/12,833562.0,-1344942.0,1898609.0,306206.0,-725261.0,1898609.0,833562.0,-1344942.0,1898609.0,,,,306206.0,-725261.0,1898609.0,,,
86,(주)듀켐바이오,176750,2013/12,-332275.0,-3982337.0,3103563.0,,,,,,,,,,,,,,,
87,(주)듀켐바이오,176750,2014/12,-593703.0,-4898484.0,5480045.0,-161369.0,-4675780.0,4982318.0,,,,,,,,,,,,
88,(주)듀켐바이오,176750,2015/12,-1828103.0,2071599.0,-351849.0,-294393.0,1788509.0,-1544865.0,,,,,,,,,,,,
89,(주)듀켐바이오,176750,2016/12,1152778.0,-1069149.0,151236.0,2749989.0,-2236870.0,-115940.0,,,,1277901.0,-1069149.0,24803.0,,,,2192430.0,-2976943.0,1160973.0
90,(주)듀켐바이오,176750,2017/12,2475297.0,-2126471.0,-255534.0,3027636.0,-730359.0,-2176010.0,2475297.0,-2126471.0,-255534.0,2475297.0,-2126471.0,-255534.0,3027636.0,-730359.0,-2176010.0,3027636.0,-730359.0,-2176010.0
91,(주)듀켐바이오,176750,2018/12,596371.0,-3088921.0,3664702.0,2365805.0,-2915803.0,1858214.0,596371.0,-3088921.0,3664702.0,596371.0,-3088921.0,3664702.0,2365805.0,-2915803.0,1858214.0,2365805.0,-2915803.0,1858214.0
92,(주)듀켐바이오,176750,2019/12,-315241.0,-2255297.0,1531819.0,368748.0,-2344623.0,913564.0,-315241.0,-2255297.0,1531819.0,-315241.0,-2255297.0,1531819.0,368748.0,-2344623.0,913564.0,368748.0,-2344623.0,913564.0
93,(주)듀켐바이오,176750,2020/12,-163843.0,-1359341.0,1543463.0,-103899.0,837598.0,-965785.0,-163843.0,-1359341.0,1543463.0,,,,-103899.0,837598.0,-965785.0,,,
94,(주)듀켐바이오,176750,2021/12,1060117.0,426954.0,-526563.0,1031000.0,482162.0,-359555.0,1060117.0,426954.0,-526563.0,1031000.0,482162.0,-359555.0,1031000.0,482162.0,-359555.0,,,
95,(주)듀켐바이오,176750,2022/12,8235957.0,-266002.0,-6529313.0,,,,8235957.0,-266002.0,-6529313.0,,,,,,,,,
96,(주)디피코,163430,2014/12,522833.0,-3772441.0,3475020.0,,,,,,,,,,,,,,,
97,(주)디피코,163430,2015/12,1563906.0,-7991494.0,5863965.0,,,,,,,,,,,,,,,
98,(주)디피코,163430,2016/12,-940993.0,-939314.0,1658115.0,,,,,,,,,,,,,,,
99,(주)디피코,163430,2017/12,-69403.0,11512.0,1141980.0,,,,,,,,,,,,,,,
100,(주)디피코,163430,2018/12,429770.0,-1074927.0,-194655.0,,,,,,,,,,,,,,,
101,(주)디피코,163430,2019/12,1794771.0,-6120108.0,4136167.0,,,,,,,,,,,,,,,
102,(주)디피코,163430,2020/12,-6166442.0,-10370087.0,16492653.0,,,,,,,-4201876.0,-11912246.0,16342594.0,,,,,,
103,(주)디피코,163430,2021/12,-8358174.0,-10923853.0,19946821.0,,,,-8358174.0,-10923853.0,19946821.0,-8358174.0,-10923853.0,19946821.0,,,,,,
104,(주)디피코,163430,2022/12,-3136306.0,-12717111.0,15298303.0,,,,-3136306.0,-12717111.0,15298303.0,,,,,,,,,
105,(주)라피치,403360,2019/12,1089830.0,-572882.0,-200000.0,,,,,,,,,,,,,,,
106,(주)라피치,403360,2020/12,427081.0,-478502.0,-293000.0,,,,,,,,,,,,,,,
107,(주)라피치,403360,2021/12,488987.0,1343293.0,-450000.0,,,,,,,579993.0,1343293.0,-541006.0,,,,,,
108,(주)라피치,403360,2022/12,1672483.0,-1534375.0,-118218.0,,,,1672483.0,-1534375.0,-118218.0,,,,,,,,,
109,(주)로보쓰리에이아이앤로보틱스,238500,2014/12,-60893.0,-417225.0,345642.0,,,,,,,,,,,,,,,
110,(주)로보쓰리에이아이앤로보틱스,238500,2015/12,-181483.0,-420137.0,2016973.0,,,,,,,-181483.0,-420137.0,2016973.0,,,,,,
111,(주)로보쓰리에이아이앤로보틱스,238500,2016/12,-573429.0,-2318194.0,2818929.0,,,,-573429.0,-2318194.0,2818929.0,-573429.0,-2318194.0,2818929.0,,,,,,
112,(주)로보쓰리에이아이앤로보틱스,238500,2017/12,-879828.0,470881.0,278.0,,,,-879828.0,470881.0,278.0,-879828.0,470881.0,278.0,,,,,,
113,(주)로보쓰리에이아이앤로보틱스,238500,2018/12,-624457.0,-960615.0,985983.0,,,,-624457.0,-960615.0,985983.0,-624457.0,-960615.0,985983.0,,,,,,
114,(주)로보쓰리에이아이앤로보틱스,238500,2019/12,-217824.0,176174.0,0.0,,,,-217824.0,176174.0,0.0,-217824.0,176174.0,0.0,,,,,,
115,(주)로보쓰리에이아이앤로보틱스,238500,2020/12,-223333.0,-62333.0,0.0,,,,-223333.0,-62333.0,0.0,-223333.0,-62333.0,0.0,,,,,,
116,(주)로보쓰리에이아이앤로보틱스,238500,2021/12,-847434.0,-2611776.0,6169269.0,,,,-847434.0,-2611776.0,6169269.0,-847434.0,-2611776.0,6169269.0,,,,,,
117,(주)로보쓰리에이아이앤로보틱스,238500,2022/12,-1933737.0,-1318198.0,2260998.0,,,,-1933737.0,-1318198.0,2260998.0,,,,,,,,,
118,(주)로지스몬,223220,2014/12,6463892.0,-1498737.0,0.0,,,,6463892.0,-1498737.0,0.0,6463892.0,-1498737.0,0.0,,,,6463892.0,-1498737.0,0.0
119,(주)로지스몬,223220,2015/12,241993.0,-7048299.0,2200000.0,-176279.0,-6839258.0,2537500.0,241993.0,-7048299.0,2200000.0,241993.0,-7048299.0,2200000.0,-176279.0,-6839258.0,2537500.0,-176279.0,-6839258.0,2537500.0
120,(주)로지스몬,223220,2016/12,-1090191.0,-1249973.0,600000.0,-1836646.0,-531787.0,500000.0,-1090191.0,-1249973.0,600000.0,-1090191.0,-1249973.0,600000.0,-1836646.0,-531787.0,500000.0,,,
121,(주)로지스몬,223220,2017/12,-3552612.0,1829734.0,1389431.0,,,,-3552612.0,1829734.0,1389431.0,-3552612.0,1829734.0,1389431.0,,,,,,
122,(주)로지스몬,223220,2018/12,-442529.0,-182280.0,1568295.0,,,,-442529.0,-182280.0,1568295.0,-842529.0,217720.0,1568295.0,,,,,,
123,(주)로지스몬,223220,2019/12,-248813.0,-283591.0,-500860.0,,,,-248813.0,-283591.0,-500860.0,-248813.0,-283591.0,-500860.0,,,,,,
124,(주)로지스몬,223220,2020/12,-1147391.0,-371252.0,1629493.0,,,,-1147391.0,-371252.0,1629493.0,-1147391.0,-371252.0,1629493.0,,,,,,
125,(주)로지스몬,223220,2021/12,-1250691.0,179746.0,1697859.0,,,,-1250691.0,179746.0,1697859.0,-1250691.0,179746.0,1697859.0,,,,,,
126,(주)로지스몬,223220,2022/12,-1095173.0,410530.0,1504.0,,,,-1095173.0,410530.0,1504.0,,,,,,,,,
127,(주)루켄테크놀러지스,162120,2013/12,-915595.0,-571927.0,1410536.0,,,,,,,,,,,,,,,
128,(주)루켄테크놀러지스,162120,2014/12,-1065433.0,-6637065.0,7699844.0,,,,,,,,,,,,,,,
129,(주)루켄테크놀러지스,162120,2015/12,7747774.0,-9856057.0,2182655.0,,,,,,,,,,,,,,,
130,(주)루켄테크놀러지스,162120,2016/12,-1021067.0,1427950.0,-244476.0,,,,,,,,,,,,,,,
131,(주)루켄테크놀러지스,162120,2017/12,2947733.0,-578926.0,-1776160.0,,,,,,,,,,,,,,,
132,(주)루켄테크놀러지스,162120,2018/12,-2135811.0,-3216633.0,8749122.0,,,,,,,,,,,,,,,
133,(주)루켄테크놀러지스,162120,2019/12,-2006064.0,-2994506.0,2856539.0,,,,,,,-811211.0,-805326.0,1616854.0,,,,,,
134,(주)루켄테크놀러지스,162120,2020/12,2357921.0,-5261606.0,5370659.0,,,,2357921.0,-5261606.0,5370659.0,2357921.0,-5261606.0,5370659.0,,,,,,
135,(주)루켄테크놀러지스,162120,2021/12,-3437262.0,-1215962.0,3160852.0,,,,-3437262.0,-1215962.0,3160852.0,-3437262.0,-1215962.0,3160852.0,,,,,,
136,(주)루켄테크놀러지스,162120,2022/12,-2339968.0,282976.0,1349690.0,,,,-2339968.0,282976.0,1349690.0,,,,,,,,,
137,(주)루트락,253610,2017/12,-227553.0,-59666.0,424379.0,,,,,,,,,,,,,,,
138,(주)루트락,253610,2018/12,-901563.0,-57346.0,1208730.0,,,,,,,,,,,,,,,
139,(주)루트락,253610,2019/12,-143650.0,-64112.0,-66600.0,,,,,,,,,,,,,,,
140,(주)루트락,253610,2020/12,-2845325.0,-9964.0,3250274.0,,,,,,,,,,,,,,,
141,(주)루트락,253610,2021/12,-2626877.0,-4814795.0,7158347.0,,,,,,,,,,,,,,,
142,(주)루트락,253610,2022/12,-3007049.0,-1137710.0,4153050.0,,,,,,,,,,,,,,,
143,(주)마이크로엔엑스,448780,2016/12,-156176.0,-1420970.0,4157732.0,,,,,,,,,,,,,,,
