,회사명,거래소코드,회계년도,부실판단,기업수명주기
310,보문관광주식회사,14789,2014,1.0,쇠퇴기
311,(주)보생,14791,2019,1.0,성숙기
312,보영운수주식회사,14813,2014,1.0,성장기
313,(주)나이스엘엠에스,14814,2019,1.0,도입기
314,부국관광주식회사,14826,2014,1.0,성장기
315,부국산업(주),14829,2019,1.0,성장기
316,부국철강공업주식회사,14832,2014,1.0,쇠퇴기
317,부림비엠주식회사,14836,2014,1.0,쇠퇴기
318,부산문화방송(주),14847,2019,1.0,쇠퇴기
319,늘곁애라이프온(주),14848,2014,1.0,도입기
320,부산일보(주),14852,2014,1.0,쇠퇴기
321,(주)부성리싸이클링,14862,2016,1.0,쇠퇴기
322,(주)부영건설,14867,2017,1.0,도입기
323,부전전자(주),14884,2017,1.0,쇠퇴기
324,(주)비씨상사,14908,2014,1.0,도입기
325,(주)빌트모아,14925,2014,1.0,도입기
326,(주)뻬띠앙뜨,14929,2014,1.0,쇠퇴기
327,(주)산양,14939,2018,1.0,도입기
328,(주)삼건사,14952,2014,1.0,성장기
329,(주)케이엠에이치신라레저,14955,2014,1.0,도입기
330,삼광개발(주),14959,2019,1.0,도입기
331,삼구건설(주),14965,2022,1.0,쇠퇴기
332,삼두실업주식회사,14982,2014,1.0,성장기
333,삼명기계공업(주),14991,2015,1.0,성숙기
334,(주)에스피인터네셔널,15011,2014,1.0,성숙기
335,삼성공업주식회사,15025,2020,1.0,성숙기
336,삼성여객자동차주식회사,15040,2014,1.0,성숙기
337,(주)삼성콘크리트,15049,2014,1.0,성숙기
338,삼성에프.씨주식회사,15056,2019,1.0,쇠퇴기
339,삼승철강(주),15059,2014,1.0,도입기
340,삼신엠앤디(주),15067,2016,1.0,성장기
341,삼아건설주식회사,15071,2016,1.0,도입기
342,삼양물산주식회사,15078,2014,1.0,쇠퇴기
343,삼양화학공업(주),15090,2019,1.0,도입기
344,삼영금속공업주식회사,15096,2019,1.0,쇠퇴기
345,삼영기계주식회사,15097,2017,1.0,쇠퇴기
346,삼영산업(주),15100,2021,1.0,성장기
347,다옴홀딩스주식회사,15106,2014,1.0,성숙기
348,삼웅에이에프티(주),15116,2014,1.0,쇠퇴기
349,삼원관광개발주식회사,15117,2021,1.0,도입기
350,삼원금형정공주식회사,15120,2017,1.0,성장기
351,(주)삼원농산,15122,2022,1.0,쇠퇴기
352,(주)삼익유가공,15144,2018,1.0,도입기
353,(주)삼일제지,15149,2016,1.0,쇠퇴기
354,삼일니트주식회사,15151,2014,1.0,도입기
355,삼지석재공업주식회사,15178,2015,1.0,도입기
356,(주)삼진앤컴퍼니,15181,2018,1.0,쇠퇴기
357,삼풍건설주식회사,15202,2014,1.0,쇠퇴기
