회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)제일기건,90481,2022,4.55,17.26,1.27,0.48,511.81,450.66,38.61,17.32,7.34,51.47,112.68,63.96,72.15,2.22,1.65,0.61,1.41,1.11,0.46,-0.12,0.0062099540302516,-15.43139626259546,-15.43,-27.93,22.19,11.44,-2.36,616.48,4.52,32.58,1.7,35.65,43.11,2.658081732576584,12.76,3.74,18.92,2.72,2.44,8.11,3.48,26.0,0.0171227568216269,0.2231447465393971,-1.700707250772839,1,0,0,0,0.0
도영통상(주),40205,2022,-4.77,-9.02,-3.53,-2.53,96.96,71.2,283.97,273.18,39.15,-2.17,2.05,68.98,26.04,1.71,0.47,0.32,2.47,2.45,1.64,1.28,-0.0049130505262995,14.117566774142816,14.12,22.67,-1.19,15.38,1.32,1889.21,6.17,20.33,4.41,7.14,53.22,1.397023260326108,3.2,3.03,4.64,1.5,1.49,4.48,2.23,29.0,0.0399763375675252,10.863359501247835,-1.0156926658489398,1,0,0,0,0.0
주식회사에스지씨에이,76211,2022,17.75,20.98,10.93,120.13,23.5,23.5,160.5,91.75,52.11,-26.95,21.58,8.28,38.39,24.59,10.64,46.871299999999685,-9.4,-9.76,-98.03,18.05,0.0,0.0,20.61,-18.29,26.03,-73.6,27.44,4401.18,23.98,28.42,98.25349999999996,35.06,81.63,0.0,0.0,1.19,0.12,0.12,0.1,0.11,0.99,9.0,1.980343642118065,2.4288453254882554,-0.5687094420600859,1,0,0,0,0.0
에스엠메탈(주),64449,2022,1.59,2.2,1.19,2.6,134.6,59.86,293.24,122.64,53.95,10.79,28.37,41.98,25.43,2.03,0.54,1.12,2.55,2.41,4.98,3.7,-0.0036865032797252,13.696969441562729,13.7,55.24,-4.74,-3.59,-0.3,1598.36,7.8,14.61,17.1,6.56,83.05,0.4557295674964422,9.72,3.3,0.85,0.49,0.48,0.77,1.32,24.0,0.1131048707711992,1.1210236450441966,-0.1621046126477409,1,0,0,0,0.0
주식회사에스케이씨,80682,2022,3.18,4.03,2.48,2.43,50.56,26.42,356.43,310.26,61.6,-33.61,1.44,34.37,21.91,-37.38,-10.81,-9.84,-7.73,-7.88,-7.88,1.72,0.0,0.0,-4.49,-7.82,-2.65,4.42,-3.03,365.81,1.55,2.75,1.52,-649.64,-224.12,0.0,8.69,6.3,1.79,1.1,1.0,1.54,2.86,16.0,0.0766998836321786,0.0551015012692988,-0.0751249951552265,1,0,0,0,0.0
대림케미칼(주),66462,2022,1.6,2.18,1.21,1.04,75.15,62.91,303.06,225.72,55.36,-13.92,1.76,42.09,24.81,10.34,2.62,2.1,5.05,4.99,4.02,1.49,0.0394347481412682,15.228606103947667,15.23,41.23,1.63,14.52,1.53,2191.6,15.32,26.55,13.19,15.93,64.29,1.160912102155844,4.66,3.94,2.03,1.25,1.24,2.02,3.23,24.0,0.067036183116777,0.0061105540926168,-0.0056403202554721,1,0,0,0,0.0
주광정밀주식회사,45364,2022,2.15,4.0,1.55,2.71,122.41,121.43,259.81,201.54,38.79,12.55,20.47,68.56,27.79,-45.65,-20.84,-28.49,-18.39,-18.65,-28.51,0.68,-0.5606545749107872,33.6465467930614,33.65,30.03,42.27,-37.06,62.8,1640.74,2.08,11.77,3.64,-782.19,-520.3290000000001,0.5717714850645496,1.56,0.95,3.04,0.73,0.65,2.14,0.94,22.0,0.3417891585155669,0.7676848106017402,-0.3796613148478951,1,0,0,0,0.0
주식회사조아라,88805,2022,-2.44,-3.51,-1.59,-2.29,41.92,41.92,186.34,160.84,45.22,-32.62,30.03,23.55,34.92,-19.56,-8.82,-10.93,-2.24,-2.67,-3.92,1.13,-0.0968475273037898,-3.2223851342296177,-3.22,-11.33,-0.42,-14.65,2.65,2148.1,10.79,19.08,15.58,-70.14,-36.72,0.6929214090223662,14.55,2.77,1.24,0.81,0.68,0.9,2.77,17.0,1.0392068993097483,0.92032827649266,-0.660284,1,0,0,0,0.0
(주)신시컴퍼니,44816,2022,-10.58,-16.16,-8.7,-3.33,94.57,34.05,461.42,461.42,53.83,-4.46,13.42,77.73,17.81,124.60429999999911,17.67,6.23,20.32,20.29,7.27,0.84,3.328871449646005,14.359527236000178,14.36,16.23,8.28,15.54,-2.57,3134.37,34.57,201.32,13.22,47.17,61.81,2.61574527224897,24.15,10.17,15.03,2.83,2.79,12.21,3.62,24.0,0.2198660925595681,12.244858480242304,-1.0385473053892216,1,0,0,0,0.0
동성에이앤티(주),62701,2021,-8.15,-33.5,-5.61,-4.68,104.43,42.65,221.43,207.99,16.75,2.87,13.66,67.57,31.11,2.19,0.45,0.56,-2.9,-2.97,-4.11,0.25,-0.1954140473590298,-42.92793597134149,-43.9942,-66.16,3.3,88.24,-6.84,1279.46,7.49,65.33,6.25,8.96,23.87,1.1986747453154467,3.69,2.4,10.08,0.8,0.72,3.76,0.9,25.0,0.0586085128954648,1.2985152863686154,-0.5986566666666666,1,0,0,0,0.0
