회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01220010]매출원가(*)(연결)(천원),[U01221340]매출총이익(손실)(연결)(천원),[U01222170]판매비와관리비(영업비용)(*)(연결)(천원),[U01230000]영업이익(손실)(연결)(천원),[U01290000]법인세비용차감전(계속사업)손익(연결)(천원),[U01290100](계속사업손익)법인세비용(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원)
(주)루켄테크놀러지스,162120,2021/12,,,,,,,,30117023,23980245,6136779,1577884,1577884,1683987,171864,,,,,,,,30117023,23980245,6136779,4558895,1577884,1683987
(주)루켄테크놀러지스,162120,2022/12,,,,,,,,26498929,22968220,3530709,-1850192,-1850192,-2666790,-604059,,,,,,,,26498929,22968220,3530709,5380901,-1850192,-2666790
(주)루트락,253610,2020/12,,,,,,,,,,,,,,,,,,,,,,5235249,2952337,2282912,3414957,-1132045,-1132995
(주)루트락,253610,2021/12,,,,,,,,,,,,,,,,,,,,,,5160689,3220921,1939768,4621566,-2681798,-3086838
(주)루트락,253610,2022/12,,,,,,,,,,,,,,,,,,,,,,4349634,2656516,1693118,4575435,-2882317,-3680123
(주)마이크로엔엑스,448780,2022/12,,,,,,,,,,,,,,,8816271,5345821,3470451,2409667,1060784,746731,-5782,8731655,5244583,3487071,2375998,1111074,786495
(주)메디쎄이,200580,2015/12,,,,,,,,,,,,,,,,,,,,,,11319047,6006795,5312252,5221657,90596,148439
(주)메디쎄이,200580,2016/12,,,,,,,,,,,,,,,,,,,,,,11485377,5827797,5657580,5451259,206321,217188
(주)메디쎄이,200580,2017/12,18302479,9102709,9199770,-1297479,-1297479,-796958,-201508,18302479,9310642,8991838,-578958,-578958,-117228,-51854,18302479,9102709,9199770,10497250,-1297479,-796958,-201508,18302479,9310642,8991838,9570795,-578958,-117228
(주)메디쎄이,200580,2018/12,19571622,7240742,12330879,1613443,1613443,2358979,44645,19571622,6555624,13015998,2131222,2131222,2762892,-324207,19571622,7240742,12330879,10717437,1613443,2358979,44645,19571622,6555624,13015998,10884776,2131222,2762892
(주)메디쎄이,200580,2019/12,19968063,6974148,12993915,1918919,1918919,1608541,160340,19967106,6964135,13002972,1935668,1935668,1585138,-13597,19968063,6974148,12993915,11074996,1918919,1608541,160340,19967106,6964135,13002972,11067303,1935668,1585138
(주)메디쎄이,200580,2020/12,18758825,6494278,12264547,2424381,2424381,25710,120451,18755027,6848240,11906787,2184149,2184149,-2121800,-63244,18758825,6494278,12264547,9840166,2424381,25710,120451,18755027,6848240,11906787,9722638,2184149,-2121800
(주)메디쎄이,200580,2021/12,20804924,5822138,14982785,4280052,4280052,5043132,-68410,20800392,5818377,14982015,3579825,3579825,4422601,-92763,20804924,5822138,14982785,10702734,4280052,5043132,-68410,20800392,5818377,14982015,11402190,3579825,4422601
(주)메디쎄이,200580,2022/12,24614315,7381045,17233270,3746739,3746739,3935840,-639223,24464555,7364566,17099989,3417220,3417220,3391650,-642727,24614315,7381045,17233270,13486531,3746739,3935840,-639223,24464555,7364566,17099989,13682769,3417220,3391650
(주)메디안디노스틱,233250,2017/12,9530812,3989592,5541220,907844,907844,1474833,-21186,9500815,4107195,5393620,969674,969674,1470756,-21186,9530812,3989592,5541220,4633376,907844,1474833,-21186,9500815,4107195,5393620,4423945,969674,1470756
(주)메디안디노스틱,233250,2018/12,10320203,5362123,4958080,462830,462830,558278,-229639,10320203,5433083,4887121,507827,507827,579849,-229639,10320203,5362123,4958080,4495250,462830,558278,-229639,10320203,5433083,4887121,4379294,507827,579849
(주)메디안디노스틱,233250,2019/12,10462705,4857063,5605642,577749,577749,651527,51018,10462705,4962991,5499715,577859,577859,660658,58728,10462705,4857063,5605642,5027893,577749,651527,51018,10462705,4962991,5499715,4921855,577859,660658
(주)메디안디노스틱,233250,2020/12,13804528,4482070,9322457,2296340,2296340,2243489,74365,13804528,4528020,9276507,2317962,2317962,2272620,78047,13804528,4482070,9322457,7026117,2296340,2243489,74365,13804528,4528020,9276507,6958545,2317962,2272620
(주)메디안디노스틱,233250,2021/12,14256035,5577874,8678161,2468087,2468087,2636699,249289,14256035,5704991,8551045,2411351,2411351,2584722,256603,14256035,5577874,8678161,6210074,2468087,2636699,249289,14256035,5704991,8551045,6139693,2411351,2584722
(주)메디안디노스틱,233250,2022/12,24832627,17233949,7598678,263981,263981,309782,-15472,24832627,17340686,7491940,250183,250183,298187,-25036,24832627,17233949,7598678,7334697,263981,309782,-15472,24832627,17340686,7491940,7241758,250183,298187
(주)메디젠휴먼케어,236340,2016/12,,,,,,,,,,,,,,,,,,,,,,1621832,481415,1140417,2473445,-1333028,-1558296
(주)메디젠휴먼케어,236340,2017/12,,,,,,,,,,,,,,,,,,,,,,3009878,1442741,1567138,2691598,-1124460,-1339481
(주)메디젠휴먼케어,236340,2018/12,3040618,1519938,1520680,-2019312,-2019312,-2314637,0,3040618,1519938,1520680,-2016831,-2016831,-2312156,0,3040618,1519938,1520680,3539992,-2019312,-2314637,0,3040618,1519938,1520680,3537512,-2016831,-2312156
(주)메디젠휴먼케어,236340,2019/12,2734273,1770095,964178,-2497683,-2497683,-3536840,0,2734273,1770095,964178,-2493618,-2493618,-3532775,0,2734273,1770095,964178,3461862,-2497683,-3536840,0,2734273,1770095,964178,3457797,-2493618,-3532775
(주)메디젠휴먼케어,236340,2020/12,2507840,2354031,153809,-3061954,-3061954,-5117774,0,2507840,2354031,153809,-3057607,-3057607,-5120327,0,2507840,2354031,153809,3215763,-3061954,-5117774,0,2507840,2354031,153809,3211416,-3057607,-5120327
(주)메디젠휴먼케어,236340,2021/12,,,,,,,,3552786,2773746,779040,-2074152,-2074152,-2631970,0,,,,,,,,3552786,2773746,779040,2853192,-2074152,-2631970
(주)메디젠휴먼케어,236340,2022/12,,,,,,,,3949759,3096537,853222,-2268707,-2268707,-2792081,0,,,,,,,,3949759,3096537,853222,3121929,-2268707,-2792081
(주)무진메디,322970,2020/12,,,,,,,,,,,,,,,,,,,,,,11400,0,11400,1968836,-1957436,-1977285
(주)무진메디,322970,2021/12,,,,,,,,,,,,,,,,,,,,,,7200,0,7200,2482918,-2475718,-2510603
(주)무진메디,322970,2022/12,,,,,,,,,,,,,,,,,,,,,,20000,0,20000,2919414,-2899414,-3027867
(주)미래엔에듀파트너,208890,2014/12,,,,,,,,,,,,,,,,,,,,,,12385298,7226896,5158402,4499766,658635,601572
