,회사명,거래소코드,회계년도,GAAP(개별) 기업수명주기,GAAP(연결) 기업수명주기,IFRS(개별) 기업수명주기,IFRS(개별)(비교) 기업수명주기,IFRS(연결) 기업수명주기,IFRS(연결)(비교) 기업수명주기
8202,(주)휴림에이텍,78590,2021/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8203,(주)휴림에이텍,78590,2022/12,도입기,,도입기,,,
8204,(주)휴비츠,65510,2012/12,성장기,성장기,성장기,성장기,성장기,성장기
8205,(주)휴비츠,65510,2013/12,성장기,성장기,성장기,성장기,성장기,성장기
8206,(주)휴비츠,65510,2014/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8207,(주)휴비츠,65510,2015/12,성장기,성장기,성장기,성장기,성장기,성장기
8208,(주)휴비츠,65510,2016/12,성장기,성장기,성장기,성장기,성장기,성장기
8209,(주)휴비츠,65510,2017/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8210,(주)휴비츠,65510,2018/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8211,(주)휴비츠,65510,2019/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8212,(주)휴비츠,65510,2020/12,성장기,성장기,성장기,성장기,성장기,성장기
8213,(주)휴비츠,65510,2021/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8214,(주)휴비츠,65510,2022/12,성장기,성장기,성장기,,성장기,
8215,(주)휴센텍,215090,2015/12,,,,,,
8216,(주)휴센텍,215090,2016/12,,,,,,
8217,(주)휴센텍,215090,2017/12,,,,,,
8218,(주)휴센텍,215090,2018/12,성장기,,성장기,성장기,,
8219,(주)휴센텍,215090,2019/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8220,(주)휴센텍,215090,2020/12,성장기,,성장기,성장기,,
8221,(주)휴센텍,215090,2021/12,도입기,,도입기,도입기,,
8222,(주)휴센텍,215090,2022/12,,,,,,
8223,(주)흥국,10240,2012/12,성장기,성장기,성장기,성장기,성장기,성장기
8224,(주)흥국,10240,2013/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8225,(주)흥국,10240,2014/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8226,(주)흥국,10240,2015/12,,성숙기,,,성숙기,성숙기
8227,(주)흥국,10240,2016/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8228,(주)흥국,10240,2017/12,,,,,,
8229,(주)흥국,10240,2018/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8230,(주)흥국,10240,2019/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8231,(주)흥국,10240,2020/12,,성장기,,,성장기,성장기
8232,(주)흥국,10240,2021/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8233,(주)흥국,10240,2022/12,성숙기,성숙기,성숙기,,성숙기,
8234,(주)흥국에프엔비,189980,2012/12,성장기,성장기,성장기,성장기,성장기,성장기
8235,(주)흥국에프엔비,189980,2013/12,성장기,성숙기,성장기,성장기,성숙기,성숙기
8236,(주)흥국에프엔비,189980,2014/12,성장기,성장기,성장기,성장기,성장기,성장기
8237,(주)흥국에프엔비,189980,2015/12,성장기,성장기,성장기,성장기,성장기,성장기
8238,(주)흥국에프엔비,189980,2016/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8239,(주)흥국에프엔비,189980,2017/12,성장기,성장기,성장기,성장기,성장기,성장기
8240,(주)흥국에프엔비,189980,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
8241,(주)흥국에프엔비,189980,2019/12,성숙기,성숙기,성숙기,성숙기,성숙기,성숙기
8242,(주)흥국에프엔비,189980,2020/12,성장기,성장기,성장기,성장기,성장기,성장기
8243,(주)흥국에프엔비,189980,2021/12,성장기,성장기,성장기,성장기,성장기,성장기
