,회사명,거래소코드,회계년도,PER,PBR,PCR,PSR
1000,(주)메디아나,41920,2021/12,11.77304964539007,1349.2994679487654,8756.480096110281,1870.3502237836017
1001,(주)메디아나,41920,2022/12,8.033033033033034,950.46352862694,8825.28361275769,1252.4373513571943
1002,(주)메디콕스,54180,2012/06,-3.592233009708738,2560.7365755934197,6644.40419126013,888.2074488541111
1003,(주)메디콕스,54180,2013/06,4.444444444444445,1698.900571960602,22643.151120072922,1282.7491124742412
1004,(주)메디콕스,54180,2014/06,11.662337662337663,1147.6328174574269,9881.887207140631,967.484936306836
1005,(주)메디콕스,54180,2015/06,12.424242424242424,2160.4211406269624,27356.74383140925,2517.4592452824254
1006,(주)메디콕스,54180,2016/06,67.34042553191489,3188.504793847638,37967.633597840046,3544.0197838824547
1007,(주)메디콕스,54180,2017/06,-8.740458015267176,2619.159037912651,95844.15087114685,3123.7710846155237
1008,(주)메디콕스,54180,2018/06,-59.6875,5905.649114181952,-32843.69107167602,7820.714750598427
1009,(주)메디콕스,54180,2019/06,-29.263157894736842,3546.365023039079,281104.35365885665,2972.1668772840144
1010,(주)메디콕스,54180,2020/12,-6.976284584980237,2038.0021755046014,-17812.02737129865,4770.6014807249185
1011,(주)메디콕스,54180,2021/12,-2.909090909090909,1417.6751751711984,-12955.56253615887,5378.588593082851
1012,(주)메디콕스,54180,2022/12,-1.6925777331995988,1363.418130856284,-9417.167106803874,3952.0476858431807
1013,(주)메디프론디비티,65650,2012/12,-42.18390804597701,2554.4018962204223,-68664.70491311027,10251.321648550182
1014,(주)메디프론디비티,65650,2013/12,-38.109756097560975,2302.8514294759275,-51039.29063144343,6807.873736050266
1015,(주)메디프론디비티,65650,2014/12,-7.318840579710145,2497.996731857904,88750343.76780626,11521.87707067963
1016,(주)메디프론디비티,65650,2015/12,-50.43478260869565,3608.0921659373453,-504309.42431254627,10452.10357797562
1017,(주)메디프론디비티,65650,2016/12,-28.64516129032258,4614.670770359842,-102450.2917992027,9010.64137045801
1018,(주)메디프론디비티,65650,2017/12,-12.279909706546276,6470.683447178233,-136845.96036008323,7658.797264561797
1019,(주)메디프론디비티,65650,2018/12,-25.158730158730158,7292.174577493436,-164206.9567872053,7037.997454097125
1020,(주)메디프론디비티,65650,2019/12,-78.33333333333333,7821.618176539368,-32288.11304820424,7946.05053860625
1021,(주)메디프론디비티,65650,2020/12,-39.85,5321.622791179764,-88558.42022414184,4718.8367289264215
1022,(주)메디프론디비티,65650,2021/12,-16.22641509433962,2660.869749718216,-74890.43821842906,2284.8128135143334
1023,(주)메디프론디비티,65650,2022/12,-4.181818181818182,2060.619472840643,-21986.16212038746,1414.592378027562
1024,(주)메쎄이상,408920,2022/12,-307.3076923076923,,,
1025,(주)메지온,140410,2012/12,63.333333333333336,2544.9473189702703,51398.080440505706,18759.39433093626
1026,(주)메지온,140410,2013/12,-134.21052631578948,1988.1245534247214,-34805.90811273032,28080.32318085266
1027,(주)메지온,140410,2014/12,-104.45103857566765,4319.735556603801,-63467.35975333885,64148.62988558902
1028,(주)메지온,140410,2015/12,49.19642857142857,3593.9339718657525,126819.90564382207,15057.472912307481
1029,(주)메지온,140410,2016/12,-13.053348467650398,3553.04721034269,-30875.302670410743,21440.84478989894
1030,(주)메지온,140410,2017/12,-19.95,6260.349337581502,-25190.117292190203,59589.20154031236
1031,(주)메지온,140410,2018/12,-45.680238331678254,13870.369464783844,-36597.35846621237,41652.24026195154
1032,(주)메지온,140410,2019/12,-73.69029275808937,38885.017799988025,-79762.8457272879,87974.7331518038
1033,(주)메지온,140410,2020/12,-90.89968976215098,27518.837746964084,-211929.25868166453,54596.906920438894
1034,(주)메지온,140410,2021/12,-141.9882275997384,30774.02062551126,-128217.28014272371,72500.0979257311
1035,(주)메지온,140410,2022/12,-10.53484602917342,13248.686426052569,-28791.43199442269,11314.334527016965
