회사명,거래소코드,회계년도,발행주식수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),주당순이익(원),주당순자산(원),종가(원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),당기순이익(천원),[U01B840000000]당기순이익(손실)(IFRS연결)(천원),[U01B840000000]당기순이익(손실)(IFRS)(천원),[U01290200]당기순이익(순손실)(연결)(천원),[U01290200]당기순이익(순손실)(천원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01A600000000]자본(*)(IFRS연결)(천원),[U01A600000000]자본(*)(IFRS)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원)
(주)MH에탄올,023150,2016/12,7378526,7378526,7378526,1128,0,7900,12245831,12230065,12245831,12230065,8134873,8144684,8134873,8144684,8134873,48897025,48897025,48897025,48897025,63581883,63257513,63581883,63257513
(주)MH에탄올,023150,2016/12,7378526,7378526,7378526,1128,0,7900,12245831,12230065,12245831,12230065,8134873,8144684,8134873,8144684,8134873,48897025,48897025,48897025,48897025,63581883,63257513,63581883,63257513
(주)MH에탄올,023150,2017/12,7378526,7378526,7378526,824,0,6340,3336890,10755779,3336890,10755779,5903108,4308068,5903108,4308068,5903108,51977132,48270464,51977132,48270464,106837344,64698932,106837344,64698932
(주)MH에탄올,023150,2017/12,7378526,7378526,7378526,824,0,6340,3336890,10755779,3336890,10755779,5903108,4308068,5903108,4308068,5903108,51977132,48270464,51977132,48270464,106837344,64698932,106837344,64698932
(주)MH에탄올,023150,2018/12,7378526,7378526,7378526,955,0,5890,-11269669,6668746,-11269669,6668746,6553371,-12033428,6553371,-12033428,6553371,72795863,46943080,72795863,46943080,91585473,68471529,91585473,68471529
(주)MH에탄올,023150,2018/12,7378526,7378526,7378526,955,0,5890,-11269669,6668746,-11269669,6668746,6553371,-12033428,6553371,-12033428,6553371,72795863,46943080,72795863,46943080,91585473,68471529,91585473,68471529
(주)MH에탄올,023150,2019/12,7378526,7378526,7378526,-752,0,6140,11368931,6417691,11368931,6417691,-5004935,-7552043,-5004935,-7552043,-5004935,80879342,46992295,80879342,46992295,79389077,59477642,79389077,59477642
(주)MH에탄올,023150,2019/12,7378526,7378526,7378526,-752,0,6140,11368931,6417691,11368931,6417691,-5004935,-7552043,-5004935,-7552043,-5004935,80879342,46992295,80879342,46992295,79389077,59477642,79389077,59477642
(주)MH에탄올,023150,2020/12,7378526,7378526,7378526,178,0,8410,18985796,7639662,18985796,7639662,1156387,3802823,1156387,3802823,1156387,94645239,51277355,94645239,51277355,80425495,57609425,80425495,57609425
(주)MH에탄올,023150,2020/12,7378526,7378526,7378526,178,0,8410,18985796,7639662,18985796,7639662,1156387,3802823,1156387,3802823,1156387,94645239,51277355,94645239,51277355,80425495,57609425,80425495,57609425
(주)MH에탄올,023150,2021/12,7378526,7378526,7378526,759,0,10200,26371475,2030480,26371475,2030480,4938622,8688865,4938622,8688865,4938622,102066937,45892137,102066937,45892137,84703339,58057496,84703339,58057496
(주)MH에탄올,023150,2021/12,7378526,7378526,7378526,759,0,10200,26371475,2030480,26371475,2030480,4938622,8688865,4938622,8688865,4938622,102066937,45892137,102066937,45892137,84703339,58057496,84703339,58057496
(주)MH에탄올,023150,2022/12,7378526,7378526,7378526,873,0,7610,16477364,-847932,16477364,-847932,5685051,11905847,5685051,11905847,5685051,110722402,51400289,110722402,51400289,95397727,62445745,95397727,62445745
(주)MH에탄올,023150,2022/12,7378526,7378526,7378526,873,0,7610,16477364,-847932,16477364,-847932,5685051,11905847,5685051,11905847,5685051,110722402,51400289,110722402,51400289,95397727,62445745,95397727,62445745
(주)가온칩스,399720,2022/12,11488320,11488320,11488320,418,0,14200,5920393,5961539,5920393,5961539,4475072,4418778,4475072,4418778,4475072,43320505,43320505,43320505,43320505,54389374,54447046,54389374,54447046
(주)가온칩스,399720,2022/12,11488320,0,11488320,418,0,14200,5920393,5961539,5920393,5961539,4475072,4418778,4475072,4418778,4475072,43320505,43320505,43320505,43320505,54389374,54447046,54389374,54447046
(주)가온칩스,399720,2022/12,11488320,11488320,11488320,418,0,14200,5920393,5961539,5920393,5961539,4475072,4418778,4475072,4418778,4475072,43320505,43320505,43320505,43320505,54389374,54447046,54389374,54447046
(주)강스템바이오텍,217730,2015/12,13817150,13817150,13817150,-586,0,10900,,-3800024,,-3800024,-5754141,,-5754141,,-5754141,,1484593,,1484593,,21237036,,21237036
(주)강스템바이오텍,217730,2015/12,13817150,0,13817150,-586,0,10900,,-3800024,,-3800024,-5754141,,-5754141,,-5754141,,1484593,,1484593,,21237036,,21237036
(주)강스템바이오텍,217730,2015/12,13817150,13817150,13817150,-586,0,10900,,-3800024,,-3800024,-5754141,,-5754141,,-5754141,,1484593,,1484593,,21237036,,21237036
(주)강스템바이오텍,217730,2016/12,14213650,14213650,14213650,-593,0,10800,,-7796613,,-7796613,-8300375,,-8300375,,-8300375,,842805,,842805,,22976911,,22976911
(주)강스템바이오텍,217730,2016/12,14213650,0,14213650,-593,0,10800,,-7796613,,-7796613,-8300375,,-8300375,,-8300375,,842805,,842805,,22976911,,22976911
(주)강스템바이오텍,217730,2016/12,14213650,14213650,14213650,-593,0,10800,,-7796613,,-7796613,-8300375,,-8300375,,-8300375,,842805,,842805,,22976911,,22976911
(주)강스템바이오텍,217730,2017/12,16251712,16251712,16251712,-745,0,12500,-10646869,-10267751,-10646869,-10267751,-10855842,-11531949,-10855842,-11531949,-10855842,9132939,5394323,9132939,5394323,24482163,24668128,24482163,24668128
(주)강스템바이오텍,217730,2017/12,16251712,16251712,16251712,-745,0,12500,-10646869,-10267751,-10646869,-10267751,-10855842,-11531949,-10855842,-11531949,-10855842,9132939,5394323,9132939,5394323,24482163,24668128,24482163,24668128
(주)강스템바이오텍,217730,2017/12,16251712,0,16251712,-745,0,12500,-10646869,-10267751,-10646869,-10267751,-10855842,-11531949,-10855842,-11531949,-10855842,9132939,5394323,9132939,5394323,24482163,24668128,24482163,24668128
(주)강스템바이오텍,217730,2018/12,20824937,20824937,20824937,-737,0,21800,-11476851,-11298071,-11476851,-11298071,-13500909,-14294032,-13500909,-14294032,-13500909,9165454,1001039,9165454,1001039,47581374,47944961,47581374,47944961
(주)강스템바이오텍,217730,2018/12,20824937,0,20824937,-737,0,21800,-11476851,-11298071,-11476851,-11298071,-13500909,-14294032,-13500909,-14294032,-13500909,9165454,1001039,9165454,1001039,47581374,47944961,47581374,47944961
(주)강스템바이오텍,217730,2018/12,20824937,20824937,20824937,-737,0,21800,-11476851,-11298071,-11476851,-11298071,-13500909,-14294032,-13500909,-14294032,-13500909,9165454,1001039,9165454,1001039,47581374,47944961,47581374,47944961
(주)강스템바이오텍,217730,2019/12,24089371,24089371,24089371,-1200,0,8140,-13321543,-11097344,-13321543,-11097344,-25001590,-26394472,-25001590,-26394472,-25001590,6004584,282069,6004584,282069,68719236,70845209,68719236,70845209
(주)강스템바이오텍,217730,2019/12,24089371,3239934,24089371,-1200,0,8140,-13321543,-11097344,-13321543,-11097344,-25001590,-26394472,-25001590,-26394472,-25001590,6004584,282069,6004584,282069,68719236,70845209,68719236,70845209
(주)강스템바이오텍,217730,2019/12,24089371,20849437,24089371,-1200,0,8140,-13321543,-11097344,-13321543,-11097344,-25001590,-26394472,-25001590,-26394472,-25001590,6004584,282069,6004584,282069,68719236,70845209,68719236,70845209
(주)강스템바이오텍,217730,2020/12,25376658,25376658,25376658,-874,0,7910,-13994255,-16124997,-13994255,-16124997,-19492205,-19745799,-19492205,-19745799,-19492205,9137898,295379,9137898,295379,48638871,51430858,48638871,51430858
(주)강스템바이오텍,217730,2020/12,25376658,24836666,25376658,-874,0,7910,-13994255,-16124997,-13994255,-16124997,-19492205,-19745799,-19492205,-19745799,-19492205,9137898,295379,9137898,295379,48638871,51430858,48638871,51430858
(주)강스템바이오텍,217730,2020/12,25376658,539992,25376658,-874,0,7910,-13994255,-16124997,-13994255,-16124997,-19492205,-19745799,-19492205,-19745799,-19492205,9137898,295379,9137898,295379,48638871,51430858,48638871,51430858
(주)강스템바이오텍,217730,2021/12,38005424,38005424,38005424,-734,0,3270,-16993514,-16455808,-16993514,-16455808,-20437353,-21826784,-20437353,-21826784,-20437353,12404665,3756744,12404665,3756744,66003004,70138473,66003004,70138473
(주)강스템바이오텍,217730,2021/12,38005424,67499,38005424,-734,0,3270,-16993514,-16455808,-16993514,-16455808,-20437353,-21826784,-20437353,-21826784,-20437353,12404665,3756744,12404665,3756744,66003004,70138473,66003004,70138473
(주)강스템바이오텍,217730,2021/12,38005424,37937925,38005424,-734,0,3270,-16993514,-16455808,-16993514,-16455808,-20437353,-21826784,-20437353,-21826784,-20437353,12404665,3756744,12404665,3756744,66003004,70138473,66003004,70138473
(주)강스템바이오텍,217730,2022/12,38005424,38005424,38005424,-521,0,2895,-18864025,-18436122,-18864025,-18436122,-19764612,-20176261,-19764612,-20176261,-19764612,16300573,5914650,16300573,5914650,47260294,51432573,47260294,51432573
(주)강스템바이오텍,217730,2022/12,38005424,37937925,38005424,-521,0,2895,-18864025,-18436122,-18864025,-18436122,-19764612,-20176261,-19764612,-20176261,-19764612,16300573,5914650,16300573,5914650,47260294,51432573,47260294,51432573
(주)강스템바이오텍,217730,2022/12,38005424,67499,38005424,-521,0,2895,-18864025,-18436122,-18864025,-18436122,-19764612,-20176261,-19764612,-20176261,-19764612,16300573,5914650,16300573,5914650,47260294,51432573,47260294,51432573
(주)강원에너지,114190,2012/12,12666826,2066826,12666826,873,0,4405,,-3145103,,-3145103,8974000,,8974549,,8974549,,106471214,,106471214,,36107930,,36107930
(주)강원에너지,114190,2012/12,12666826,12666826,12666826,873,0,4405,,-3145103,,-3145103,8974000,,8974549,,8974549,,106471214,,106471214,,36107930,,36107930
(주)강원에너지,114190,2012/12,12666826,10600000,12666826,873,0,4405,,-3145103,,-3145103,8974000,,8974549,,8974549,,106471214,,106471214,,36107930,,36107930
(주)강원에너지,114190,2013/12,12666826,0,12666826,323,0,2205,,16975955,,16975955,3922000,,3922208,,3922208,,50660659,,50660659,,45877155,,45877155
