회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS),감사의견코드(IFRS)(백만원)
(주)내츄럴엔도텍,168330,2017/12,-1.94,-7437,UQ
(주)내츄럴엔도텍,168330,2018/12,-4.35,-5419,UQ
(주)내츄럴엔도텍,168330,2019/12,-3.35,-4206,UQ
(주)내츄럴엔도텍,168330,2020/12,0.5,-1296,UQ
(주)내츄럴엔도텍,168330,2021/12,-3.29,-1699,UQ
(주)내츄럴엔도텍,168330,2022/12,-127.96,-3706,UQ
(주)네오리진,094860,2012/12,1.27,3744,UQ
(주)네오리진,094860,2013/12,-2.65,2744,UQ
(주)네오리진,094860,2014/12,-8.5,-459,UQ
(주)네오리진,094860,2015/12,-19.24,-2158,UQ
(주)네오리진,094860,2016/12,9.47,1481,UQ
(주)네오리진,094860,2017/12,3.26,170,UQ
(주)네오리진,094860,2018/12,-12.63,-47,UQ
(주)네오리진,094860,2019/12,3.22,1710,UQ
(주)네오리진,094860,2020/12,-31.16,-857,UQ
(주)네오리진,094860,2021/12,-4.85,-3594,UQ
(주)네오리진,094860,2022/12,1.32,-1633,UQ
(주)네오셈,253590,2018/12,,,UQ
(주)네오셈,253590,2019/12,-8.33,-4325,UQ
(주)네오셈,253590,2020/12,25.93,11392,UQ
(주)네오셈,253590,2021/12,2.87,-5876,UQ
(주)네오셈,253590,2022/12,3.24,-6625,UQ
(주)네오이뮨텍,950220,2021/12,-254.04,-34348,UQ
(주)네오이뮨텍,950220,2022/12,-370.3,-44167,UQ
(주)네오크레마,311390,2019/12,4.09,-988,UQ
(주)네오크레마,311390,2020/12,21.13,4113,UQ
(주)네오크레마,311390,2021/12,16.8,2001,UQ
(주)네오크레마,311390,2022/12,12.04,-95,UQ
(주)네오티스,085910,2012/12,33.52,5049,UQ
(주)네오티스,085910,2013/12,8.27,5250,UQ
(주)네오티스,085910,2014/12,6.4,5484,UQ
(주)네오티스,085910,2015/12,3.97,5749,UQ
(주)네오티스,085910,2016/12,5.06,713,UQ
(주)네오티스,085910,2017/12,6.29,7446,UQ
(주)네오티스,085910,2018/12,5.52,3469,UQ
(주)네오티스,085910,2019/12,3.85,2849,UQ
(주)네오티스,085910,2020/12,2.14,8293,UQ
(주)네오티스,085910,2021/12,3.16,2320,UQ
(주)네오티스,085910,2022/12,2.7,2606,UQ
(주)네오펙트,290660,2018/12,-2.25,-5122,UQ
(주)네오펙트,290660,2019/12,-6.41,-8282,UQ
(주)네오펙트,290660,2020/12,-5.32,-6156,UQ
(주)네오펙트,290660,2021/12,-3.13,-3953,UQ
(주)네오펙트,290660,2022/12,-3.11,-4275,UQ
(주)네온테크,306620,2018/12,,,UQ
(주)네온테크,306620,2019/12,,,UQ
(주)네온테크,306620,2020/12,0.52,1720,UQ
(주)네온테크,306620,2021/12,-2.09,-7873,UQ
(주)네온테크,306620,2022/12,-3.91,-1383,UQ
(주)네이블커뮤니케이션즈,153460,2012/12,71.34,6350,UQ
(주)네이블커뮤니케이션즈,153460,2013/12,4.62,-845,UQ
(주)네이블커뮤니케이션즈,153460,2014/12,531.07,-301,UQ
(주)네이블커뮤니케이션즈,153460,2015/12,999999999,1082,UQ
(주)네이블커뮤니케이션즈,153460,2016/12,999999999,5956,UQ
(주)네이블커뮤니케이션즈,153460,2017/12,999999999,-6917,UQ
(주)네이블커뮤니케이션즈,153460,2018/12,999999999,-914,UQ
(주)네이블커뮤니케이션즈,153460,2019/12,-454.29,-1959,UQ
(주)네이블커뮤니케이션즈,153460,2020/12,250.19,-2035,UQ
(주)네이블커뮤니케이션즈,153460,2021/12,1034.99,3022,UQ
(주)네이블커뮤니케이션즈,153460,2022/12,2861.14,7228,UQ
(주)네이처셀,007390,2012/12,-0.67,-917,UQ
(주)네이처셀,007390,2013/12,1.54,745,UQ
(주)네이처셀,007390,2014/12,-2.98,117,UQ
(주)네이처셀,007390,2015/12,-2.61,976,UQ
(주)네이처셀,007390,2016/12,-7.91,-2144,UQ
(주)네이처셀,007390,2017/12,-0.81,3479,UQ
(주)네이처셀,007390,2018/12,7.8,3700,UQ
(주)네이처셀,007390,2019/12,8.3,358,UQ
(주)네이처셀,007390,2020/12,-13.12,-5412,UQ
(주)네이처셀,007390,2021/12,-12.65,-10150,UQ
(주)네이처셀,007390,2022/12,-5.51,-14506,UQ
(주)네패스아크,330860,2020/12,2.04,39051,UQ
(주)네패스아크,330860,2021/12,10.51,69486,UQ
(주)네패스아크,330860,2022/12,5.68,89052,UQ
(주)넥스턴바이오사이언스,089140,2012/12,158.14,3075,UQ
(주)넥스턴바이오사이언스,089140,2013/12,284.57,1106,UQ
(주)넥스턴바이오사이언스,089140,2014/12,2169.07,6478,UQ
(주)넥스턴바이오사이언스,089140,2015/12,7799.11,1916,UQ
(주)넥스턴바이오사이언스,089140,2016/12,97436.72,15257,UQ
(주)넥스턴바이오사이언스,089140,2017/12,1532.55,5084,UQ
(주)넥스턴바이오사이언스,089140,2018/12,999999999,9627,UQ
(주)넥스턴바이오사이언스,089140,2019/12,2394.07,2735,UQ
(주)넥스턴바이오사이언스,089140,2020/12,-2898.87,236,UQ
(주)넥스턴바이오사이언스,089140,2021/12,0.27,5748,UQ
(주)넥스턴바이오사이언스,089140,2022/12,-0.06,1225,UQ
(주)넥스트아이,137940,2012/12,999999999,3178,UQ
(주)넥스트아이,137940,2013/12,999999999,7641,UQ
(주)넥스트아이,137940,2014/12,107.56,3067,UQ
(주)넥스트아이,137940,2015/12,70.1,3323,UQ
(주)넥스트아이,137940,2016/12,1.14,2948,UQ
(주)넥스트아이,137940,2017/12,-0.76,362,UQ
(주)넥스트아이,137940,2018/12,1.25,-835,UQ
(주)넥스트아이,137940,2019/12,-4.76,-3800,UQ
(주)넥스트아이,137940,2020/12,-6.59,-5801,UQ
(주)넥스트아이,137940,2021/12,-1.63,-2531,UQ
(주)넥스트아이,137940,2022/12,1.38,-4453,UQ
(주)넥스트칩,396270,2022/12,-593.32,-31609,UQ
(주)넥스틴,348210,2020/12,41.09,9773,UQ
(주)넥스틴,348210,2021/12,366.61,10404,UQ
(주)넥스틴,348210,2022/12,842.82,50855,UQ
(주)노랑풍선,104620,2019/12,-4.02,6429,UQ
(주)노랑풍선,104620,2020/12,-14.56,-21878,UQ
(주)노랑풍선,104620,2021/12,-10.25,-14111,UQ
(주)노랑풍선,104620,2022/12,-13.44,-321,UQ
(주)노바렉스,194700,2018/12,999999999,8486,UQ
(주)노바렉스,194700,2019/12,422.07,-427,UQ
(주)노바렉스,194700,2020/12,143.47,16649,UQ
(주)노바렉스,194700,2021/12,37.66,23997,UQ
(주)노바렉스,194700,2022/12,20.4,19862,UQ
(주)노바텍,285490,2018/12,999999999,6474,UQ
(주)노바텍,285490,2019/12,1312.88,5517,UQ
