,회사명,거래소코드,회계년도,부실판단,기업수명주기
195,(주)아이오케이컴퍼니,78860,2018,1.0,도입기
196,퀀타피아(주),78940,2014,1.0,쇠퇴기
197,(주)디이엔티,79810,2020,1.0,쇠퇴기
198,(주)투비소프트,79970,2019,1.0,성숙기
199,(주)코디,80530,2016,1.0,도입기
200,(주)오킨스전자,80580,2017,1.0,성장기
201,한국유니온제약(주),80720,2020,1.0,도입기
202,성우전자(주),81580,2019,1.0,성숙기
203,(주)젬백스&카엘,82270,2017,1.0,도입기
204,(주)코스나인,82660,2016,1.0,성장기
205,(주)비보존제약,82800,2016,1.0,성숙기
206,(주)이엠앤아이,83470,2018,1.0,도입기
207,씨지인바이츠(주),83790,2014,1.0,쇠퇴기
208,(주)수성샐바시온,84180,2019,1.0,도입기
209,(주)헬릭스미스,84990,2018,1.0,도입기
210,(주)엔케이,85310,2017,1.0,성숙기
211,(주)차바이오텍,85660,2016,1.0,성장기
212,(주)바이오톡스텍,86040,2015,1.0,쇠퇴기
213,(주)진바이오텍,86060,2021,1.0,쇠퇴기
214,(주)큐러블,86460,2015,1.0,도입기
215,(주)바이오솔루션,86820,2021,1.0,성장기
216,(주)펩트론,87010,2017,1.0,쇠퇴기
217,(주)픽셀플러스,87600,2018,1.0,쇠퇴기
218,이원컴포텍(주),88290,2014,1.0,도입기
219,(주)넥스턴바이오사이언스,89140,2022,1.0,도입기
220,더이앤엠(주),89230,2014,1.0,쇠퇴기
221,(주)제이티,89790,2015,1.0,도입기
222,(주)코세스,89890,2015,1.0,성숙기
223,(주)아이윈,90150,2015,1.0,성숙기
224,(주)메타랩스,90370,2014,1.0,쇠퇴기
225,휴림로봇(주),90710,2014,1.0,도입기
226,(주)텔레필드,91440,2018,1.0,도입기
227,나노캠텍(주),91970,2017,1.0,쇠퇴기
228,아미코젠(주),92040,2019,1.0,성장기
229,(주)앤씨앤,92600,2014,1.0,쇠퇴기
230,(주)이아이디,93230,2014,1.0,도입기
231,(주)엔지브이아이,93510,2022,1.0,쇠퇴기
232,(주)케이알엠,93640,2022,1.0,쇠퇴기
233,(주)동운아나텍,94170,2019,1.0,쇠퇴기
234,참좋은여행(주),94850,2022,1.0,쇠퇴기
235,(주)네오리진,94860,2015,1.0,쇠퇴기
236,(주)푸른기술,94940,2021,1.0,도입기
237,제이엠티(주),94970,2017,1.0,도입기
238,(주)웨이브일렉트로닉스,95270,2017,1.0,성장기
239,(주)제넥신,95700,2014,1.0,성장기
240,이트론(주),96040,2014,1.0,도입기
241,(주)대창솔루션,96350,2014,1.0,도입기
242,(주)알에프세미,96610,2020,1.0,도입기
243,(주)에이루트,96690,2018,1.0,성숙기
244,(주)윈팩,97800,2015,1.0,성숙기
245,에스디엔(주),99220,2014,1.0,쇠퇴기
246,(주)동방선기,99410,2014,1.0,쇠퇴기
247,(주)인지소프트,100030,2020,1.0,성장기
248,(주)인바이오젠,101140,2014,1.0,쇠퇴기
249,(주)아이엠,101390,2020,1.0,쇠퇴기
250,엔시트론(주),101400,2015,1.0,도입기
251,한국정밀기계(주),101680,2014,1.0,성장기
252,(주)위메이드맥스,101730,2014,1.0,쇠퇴기
253,(주)쌍방울,102280,2015,1.0,도입기
254,(주)에스앤더블류,103230,2014,1.0,성숙기
255,(주)씨앗,103660,2020,1.0,성숙기
256,(주)노랑풍선,104620,2021,1.0,도입기
257,(주)케이엔더블유,105330,2020,1.0,쇠퇴기
258,(주)하이소닉,106080,2015,1.0,성숙기
259,(주)파인테크닉스,106240,2018,1.0,쇠퇴기
260,(주)노블엠앤비,106520,2017,1.0,도입기
261,(주)한중엔시에스,107640,2016,1.0,성장기
262,(주)로보티즈,108490,2022,1.0,성장기
263,(주)셀바스에이아이,108860,2020,1.0,성숙기
264,컨버즈(주),109070,2014,1.0,쇠퇴기
265,(주)에이프로젠헬스케어앤게임즈,109960,2017,1.0,성장기
266,전진바이오팜(주),110020,2020,1.0,도입기
267,케이에이치전자(주),111870,2020,1.0,도입기
268,디젠스(주),113810,2015,1.0,성장기
269,크루셜텍(주),114120,2014,1.0,도입기
270,(주)강원에너지,114190,2018,1.0,도입기
271,그린생명과학(주),114450,2022,1.0,쇠퇴기
272,(주)큐리언트,115180,2018,1.0,도입기
273,에이치엘비테라퓨틱스(주),115450,2014,1.0,도입기
274,(주)씨유메디칼시스템,115480,2018,1.0,성장기
275,(주)씨엔플러스,115530,2015,1.0,도입기
