회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,쭈피처,영업투자현금비율,영업재무현금비율,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)알테오젠,196170,2018,-144,-374,-9,-49,2352,2333,7,4,3,78,360,82,93,-12.91,-12.61,-51.59,-11.92,-13.39,-55.9,-5.97,0.0424011135650143,65.94987420193438,65.95,63.32,78.71,13.21,132.92,-2307,-3,-20,-17,0,0,0.1919718999476748,8.75,0,2,0,0,1,0,16.0,10.0,-56.85884691848906,5889.047596393443,-43103.00627091072,28663.513214803766,6.234040996396987,0.3989211919211269,-0.2570625795214497,1.0,1,0,0,0
(주)알톤스포츠,123750,2017,-45,-56,-22,-30,139,76,95,94,39,19,23,68,51,-51.7,-33.01,-49.06,-18.58,-18.72,-30.38,1.89,-0.429052774506221,-27.80354243025584,-27.8,-21.37,-38.35,-17.34,-18.31,-10064,-17,-73,-23,0,0,0.7347372612237831,3.72,2,3,1,1,2,1,14.0,14.0,-2.188320209973753,1398.561497221344,-637888.662890156,978.4260677445576,0.4261549213462834,-0.0404678088418275,-0.0326996548478808,1.0,0,0,0,1
(주)알파홀딩스,117670,2018,-16,-22,-9,-10,83,81,117,108,39,-8,10,42,46,-12.04,-10.87,-7.23,-6.75,-7.41,-7.2,1.7,0.0934561690070617,61.66814016580887,61.67,64.93,59.43,21.56,12.97,6423,6,33,8,-96,-39,0.8333965225529978,6.54,3,4,2,1,2,3,22.0,14.0,-25.84269662921348,3210.1224926243726,-18709.22362217238,1776.5676715866332,0.0777741643098843,0.1666490553511032,-0.1422350794199409,1.0,1,0,0,0
(주)애니플러스,310200,2022,31,70,13,32,126,115,76,54,19,8,55,38,57,6.71,5.03,9.37,8.75,7.93,16.56,3.05,-0.5906812540893078,39.65426160721671,39.65,-11.42,118.02,18.55,26.43,32397,23,370,56,17,56,0.4107304453824071,6.29,1,7,1,0,1,1,6.0,6.0,34.85294117647059,2451.506666316788,9308.896956046092,3395.8102114303924,0.2319392523817646,-0.4060582157619316,1.9976917036231483,0.0,0,0,1,0
(주)애드바이오텍,179530,2021,-10,-12,-8,-13,69,52,311,247,63,-19,9,41,24,-36.92,-18.17,-22.5,-7.78,-7.81,-13.13,1.05,0.550476524600179,11.24885310838281,11.25,19.63,6.01,20.63,38.59,1106,5,15,9,-241,-148,0.5649114304340823,4.53,2,1,1,1,1,1,24.0,2.0,0.0,0.0,0.0,0.0,0.5472994527113059,0.4777761740639991,-0.3978271908318636,1.0,1,0,0,0
(주)앤디포스,238090,2022,-19,-33,-4,-7,336,248,23,23,11,43,49,62,81,-13.14,-12.05,-24.02,0.33,-0.68,-1.53,0.21,-0.253297618146076,-25.39583141610173,-25.4,-43.36,51.97,41.53,-10.62,-10454,-6,-76,-12,0,0,0.5179444453917443,12.79,1,6,1,0,2,1,14.0,8.0,-5.422222222222223,834.7056267579782,-9403.939180053383,1305.9037043678334,0.3253127678590293,0.2530788449599245,-8.869954629533929,0.0,1,0,0,0
(주)앤씨앤,92600,2014,-13,-27,-2,-3,486,417,20,17,8,56,103,70,83,-4.0,-4.48,-5.32,-3.37,-4.74,-7.51,-1.99,0.2804784674334727,-2.43980011076077,-2.44,-4.2,1.94,-2.25,-31.7,5849,10,885,16,-33,-27,0.6387591694492948,29.93,1,44,1,1,2,1,27.0,17.0,-22.727272727272727,921.8867407336696,-185653.85210196665,1204.9330940541984,0.4596534303847661,-0.0426337223656073,0.1102918601345589,1.0,0,0,0,1
(주)앱코,129890,2022,1,1,0,1,341,232,78,32,38,43,40,61,56,-27.28,-18.19,-21.33,-13.66,-13.84,-18.74,0.79,-0.1797627892929913,-19.703038538578145,-19.7,-35.25,29.6,-18.82,39.9,-8567,-9,-48,-10,0,0,0.8288964759344774,6.08,2,3,1,1,2,1,23.0,4.0,-3.426136363636364,1087.9429964879805,-4191.951130470771,738.8515328126682,0.2233132107146427,0.8124142827924566,-2.392105950131264,0.0,1,0,0,0
(주)야스,255440,2022,18,230,5,19,216,164,36,31,2,26,32,49,74,-0.53,-0.83,-2.3,-1.59,-2.19,-8.81,-2.26,-0.0209187506432779,-3.255289564110897,-3.26,-16.82,14.61,10.3,25.24,13015,6,35,24,-10,-9,0.2528932666602762,3.1,1,1,0,0,1,0,22.0,7.0,-120.6153846153846,641.1813717822831,-27140.01635695813,1867.7327778375272,0.2329918686480122,0.4216685918132846,-10.068343969955878,0.0,1,0,0,0
(주)어스앤에어로스페이스,263540,2019,-6,-10,-5,-9,84,50,1288,851,57,-10,10,52,7,-155.51,-62.24,-125.79,-32.75,-32.8,-70.05,2.97,-1.5042917007977326,-40.553169995827005,-40.55,-37.33,-43.65,-15.64,-36.87,-13002,-31,-66,-49,0,0,0.6279212690110705,1.96,2,1,0,0,1,1,22.0,7.0,-1.7796610169491525,19308.543886436124,-116127.8837400625,2215.927194464267,0.1464912434744459,0.3362836660133197,-0.18454012835132,1.0,1,0,0,0
