,회사명,거래소코드,회계년도,매출채권회전률,종업원수증가율,총자산증가율,총자산회전율,영업년수,상장년수,CROE
10295,(주)큐라클,365270,2020,0.0,0.0,-18.275639572599875,0.0,8,3,
10296,(주)큐라클,365270,2021,0.0,0.0,416.49668924125774,0.09545270138134297,8,3,-7.33466806752411
10297,(주)큐라클,365270,2022,8.06,27.59,-15.064811040000475,0.0643733681548927,8,3,-0.009126364362655293
10298,성일하이텍(주),365340,2017,,,,1.175451075055753,7,2,
10299,성일하이텍(주),365340,2018,2008.01,0.0,42.943424772658936,1.2367810125917658,7,2,
10300,성일하이텍(주),365340,2019,71.36,0.0,46.23689877739265,0.47033517947510195,7,2,-0.7307656895433576
10301,성일하이텍(주),365340,2020,19.75,0.0,47.36691604110263,0.454845680314877,7,2,0.2284681783583361
10302,성일하이텍(주),365340,2021,24.03,0.0,37.68033341880886,0.7377668646646052,7,2,-0.03627665876267863
10303,성일하이텍(주),365340,2022,23.89,0.0,110.70131279377901,0.6417712050205974,7,2,0.334061347233634
10304,(주)하이딥,365590,2020,,,,,4,4,
10305,(주)하이딥,365590,2021,,,,,4,4,
10306,(주)하이딥,365590,2022,9.76,0.0,,0.4756807218131271,4,4,
10307,(주)브이씨,365900,2018,,,,1.1495311681711062,19,2,
10308,(주)브이씨,365900,2019,4.56,0.0,11.08094144203726,1.1634117314338943,19,2,
10309,(주)브이씨,365900,2020,12.61,0.0,29.2465751129317,1.1484287398122006,19,2,0.021147539195643772
10310,(주)브이씨,365900,2021,13.32,0.0,66.63006960562599,0.9077661616820569,19,2,0.06245842967862558
10311,(주)브이씨,365900,2022,8.67,1.04,62.445299685989596,0.5658229985584846,19,2,-0.24926476772704081
10312,(주)공구우먼,366030,2017,,,,1.6272527186184713,18,2,
10313,(주)공구우먼,366030,2018,39.96,0.0,8.645297952588352,1.5355954079141023,18,2,
10314,(주)공구우먼,366030,2019,40.92,0.0,16.025227432056347,1.362421980065888,18,2,-0.03456828504496817
10315,(주)공구우먼,366030,2020,38.07,0.0,32.96653350569626,1.3629294035800352,18,2,0.029318619797641998
10316,(주)공구우먼,366030,2021,42.89,0.0,31.56980695836289,1.499797833911676,18,2,0.13434189872430763
10317,(주)공구우먼,366030,2022,42.65,11.11,100.30574510794357,0.9286185694947188,18,2,-0.10017797597713862
10318,(주)플래티어,367000,2020,,,,1.4230475039028256,19,3,
10319,(주)플래티어,367000,2021,13.68,0.0,88.74150683455716,0.802164409965103,19,3,
10320,(주)플래티어,367000,2022,9.92,20.59,8.206131685588842,0.8840236635293065,19,3,-0.07321478235854127
10321,(주)아이씨에이치,368600,2017,,,,1.17969414681044,12,2,
10322,(주)아이씨에이치,368600,2018,2.37,0.0,35.24914257920962,0.8240659258790388,12,2,
10323,(주)아이씨에이치,368600,2019,2.83,0.0,29.270251179548477,0.9047800578441078,12,2,-0.072931223089032
10324,(주)아이씨에이치,368600,2020,7.04,0.0,87.42875921160591,0.69839819565638,12,2,-0.23566090485669938
10325,(주)아이씨에이치,368600,2021,9.55,0.0,60.347708078148344,0.6927877147894557,12,2,0.19433053306600895
10326,(주)아이씨에이치,368600,2022,6.54,0.0,48.33194443898755,0.27728075386635065,12,2,-0.5381532925235981
10327,(주)파이버프로,368770,2020,,,,,4,3,
10328,(주)파이버프로,368770,2021,,,,,4,3,
10329,(주)파이버프로,368770,2022,11.12,0.0,,0.4742648783975831,4,3,
10330,(주)오에스피,368970,2020,,,,0.9864522687554553,20,2,
10331,(주)오에스피,368970,2021,6.29,0.0,17.206258710907928,0.8485489844794497,20,2,
10332,(주)오에스피,368970,2022,7.94,0.0,102.32481691996469,0.44894889734939286,20,2,-0.16951896130768948
10333,(주)블리츠웨이,369370,2020,,,,,4,4,
10334,(주)블리츠웨이,369370,2021,1119.73,0.0,,0.7710203223718386,4,4,
10335,(주)블리츠웨이,369370,2022,30.13,35.14,142.81065347374405,0.3836074534351623,4,4,1.2253436398978106
10336,풍원정밀(주),371950,2013,,,,0.7820167629627056,28,2,
10337,풍원정밀(주),371950,2014,7.34,0.0,3.5731515895897554,1.3608110474882273,28,2,
10338,풍원정밀(주),371950,2015,8.58,0.0,24.337931532655393,1.6514389183312324,28,2,-0.049459592334494124
10339,풍원정밀(주),371950,2016,7.81,0.0,40.54903464257753,1.405962314262795,28,2,0.10472736377266892
10340,풍원정밀(주),371950,2017,7.23,0.0,16.688875947144208,1.528093756023557,28,2,0.15182856125992394
10341,풍원정밀(주),371950,2018,14.08,0.0,26.53221809050012,1.1646325837626623,28,2,-0.5076072938409274
10342,풍원정밀(주),371950,2019,12.42,0.0,30.099039912499002,0.8217321799937605,28,2,-0.07866746021950469
