,회사명,거래소코드,회계년도,new_feature
215,(주)볼빅,206950,2013/12,0.48016152645687804
216,(주)볼빅,206950,2014/12,0.45911784551349877
217,(주)볼빅,206950,2015/12,0.4905188426503491
218,(주)볼빅,206950,2016/12,0.484461546033055
219,(주)볼빅,206950,2017/12,0.47159077593737253
220,(주)볼빅,206950,2018/12,0.4100109456636933
221,(주)볼빅,206950,2019/12,0.486676894165665
222,(주)볼빅,206950,2020/12,0.39897981500986096
223,(주)볼빅,206950,2021/12,0.2894187368203398
224,(주)볼빅,206950,2022/12,0.2984112353458561
225,(주)블루탑,191600,2013/12,0.1366957167514499
226,(주)블루탑,191600,2014/12,0.11252825208950336
227,(주)블루탑,191600,2015/12,0.11690824815319639
228,(주)블루탑,191600,2016/12,0.1397818286399725
229,(주)블루탑,191600,2017/12,0.17064074653254874
230,(주)블루탑,191600,2018/12,0.14497420362639252
231,(주)블루탑,191600,2019/12,0.11875580534010166
232,(주)블루탑,191600,2020/12,0.12936701698848885
233,(주)블루탑,191600,2021/12,0.11435713254264329
234,(주)블루탑,191600,2022/12,0.09371481407222855
235,(주)비엘헬스케어,86220,2013/12,0.10126686417249905
236,(주)비엘헬스케어,86220,2014/12,0.08003487892922453
237,(주)비엘헬스케어,86220,2015/12,0.08832901143307832
238,(주)비엘헬스케어,86220,2016/12,0.07687812030177367
239,(주)비엘헬스케어,86220,2017/12,0.0665251146090277
240,(주)비엘헬스케어,86220,2018/12,0.07657815670329675
241,(주)비엘헬스케어,86220,2019/12,0.11819608505739392
242,(주)비엘헬스케어,86220,2020/12,0.08692073454835178
243,(주)비엘헬스케어,86220,2021/12,0.061499023742183676
244,(주)비엘헬스케어,86220,2022/12,0.0513710875213624
245,(주)셀젠텍,258250,2014/12,0.2587741553195665
246,(주)셀젠텍,258250,2015/12,0.19809623149211353
247,(주)셀젠텍,258250,2016/12,0.1256745240564635
248,(주)셀젠텍,258250,2017/12,0.14160387139190572
249,(주)셀젠텍,258250,2018/12,0.12092490459831118
250,(주)셀젠텍,258250,2019/12,0.18954252985106823
251,(주)셀젠텍,258250,2020/12,0.2933601402429968
252,(주)셀젠텍,258250,2021/12,0.29366235418408043
253,(주)셀젠텍,258250,2022/12,0.2985072267228995
254,(주)썬테크,217320,2013/12,0.16733982334823602
255,(주)썬테크,217320,2014/12,0.15736039104257174
256,(주)썬테크,217320,2015/12,0.2031769755691633
257,(주)썬테크,217320,2016/12,0.11919896536292522
258,(주)썬테크,217320,2017/12,0.14384450998720258
259,(주)썬테크,217320,2018/12,0.18188824341335072
260,(주)썬테크,217320,2019/12,0.13696365204877853
261,(주)썬테크,217320,2020/12,0.12845581224945035
262,(주)썬테크,217320,2021/12,0.14854712072358184
263,(주)썬테크,217320,2022/12,0.12056379778869526
264,(주)씨알푸드,236030,2014/12,0.28015567636884126
265,(주)씨알푸드,236030,2015/12,0.2870547225789381
266,(주)씨알푸드,236030,2016/12,0.23623847773787687
267,(주)씨알푸드,236030,2017/12,0.16921536424461675
268,(주)씨알푸드,236030,2018/12,0.21670168630941475
269,(주)씨알푸드,236030,2019/12,0.23503853422775292
270,(주)씨알푸드,236030,2020/12,0.28232401024301584
271,(주)씨알푸드,236030,2021/12,0.27874636218778787
272,(주)씨알푸드,236030,2022/12,0.2668222691783645
273,(주)씨앗,103660,2013/12,0.286135133235439
274,(주)씨앗,103660,2014/12,0.2664321900164443
275,(주)씨앗,103660,2015/12,0.2116811792358616
276,(주)씨앗,103660,2016/12,0.15248560816098566
277,(주)씨앗,103660,2017/12,0.15156242173346565
278,(주)씨앗,103660,2018/12,0.14962813275740788
279,(주)씨앗,103660,2019/12,0.14844790748412048
280,(주)씨앗,103660,2020/12,0.16683188878056937
281,(주)씨앗,103660,2021/12,0.15065242263800885
282,(주)씨앗,103660,2022/12,0.14439647461739247
283,(주)씨앤에스링크,245450,2014/12,0.15971443584629896
284,(주)씨앤에스링크,245450,2015/12,0.17465305884467044
285,(주)씨앤에스링크,245450,2016/12,0.21034413204432573
286,(주)씨앤에스링크,245450,2017/12,0.18877455376829996
287,(주)씨앤에스링크,245450,2018/12,0.13879267961070008
288,(주)씨앤에스링크,245450,2019/12,0.17757112935936684
289,(주)씨앤에스링크,245450,2020/12,0.22103615529304327
290,(주)씨앤에스링크,245450,2021/12,0.2273156016140683
291,(주)씨앤에스링크,245450,2022/12,0.23321445941563615
292,(주)씨엔티드림,286000,2014/12,0.17972268421420395
293,(주)씨엔티드림,286000,2015/12,0.1869791934464934
294,(주)씨엔티드림,286000,2016/12,0.2732103752808617
295,(주)씨엔티드림,286000,2017/12,0.22002923534437469
296,(주)씨엔티드림,286000,2018/12,0.2673067307315978
297,(주)씨엔티드림,286000,2019/12,0.3377200627847501
298,(주)씨엔티드림,286000,2020/12,0.31985173011418855
299,(주)씨엔티드림,286000,2021/12,0.4222785988971262
300,(주)씨엔티드림,286000,2022/12,0.24239626869876796
301,(주)아이오바이오,447690,2021/12,1.6234267119969996
302,(주)아이오바이오,447690,2022/12,2.046644440639384
303,(주)안지오랩,251280,2014/12,0.8842585899337576
304,(주)안지오랩,251280,2015/12,1.5169913794207688
305,(주)안지오랩,251280,2016/12,2.5171740843087775
306,(주)안지오랩,251280,2017/12,1.1304023437598572
307,(주)안지오랩,251280,2018/12,0.36848213905425287
308,(주)안지오랩,251280,2019/12,2.325866349798855
309,(주)안지오랩,251280,2020/12,14.180991617677352
310,(주)안지오랩,251280,2021/12,3.1992207539792847
311,(주)안지오랩,251280,2022/12,2.898494472239874
312,(주)엄지하우스,224810,2013/12,0.06981748598869476
313,(주)엄지하우스,224810,2014/12,0.060361240162581875
314,(주)엄지하우스,224810,2015/12,0.07569319054525149
315,(주)엄지하우스,224810,2016/12,0.08317211231454147
316,(주)엄지하우스,224810,2017/12,0.05549307041963598
317,(주)엄지하우스,224810,2018/12,0.09502869095848729
318,(주)엄지하우스,224810,2019/12,0.07900018998878838
319,(주)엄지하우스,224810,2020/12,0.10618104228865514
320,(주)엄지하우스,224810,2021/12,0.0880252873209674
321,(주)엄지하우스,224810,2022/12,0.23349610114315997
322,(주)에스알바이오텍,270210,2015/12,0.2808643488604605
323,(주)에스알바이오텍,270210,2016/12,0.43965888151904514
324,(주)에스알바이오텍,270210,2017/12,1.7514840542386578
325,(주)에스알바이오텍,270210,2018/12,1.1303400439183975
326,(주)에스알바이오텍,270210,2019/12,0.6042062782476028
327,(주)에스알바이오텍,270210,2020/12,0.7181066369523348
328,(주)에스알바이오텍,270210,2021/12,0.2400524954987891
329,(주)에스알바이오텍,270210,2022/12,0.2622695549890591
330,(주)에스엘테라퓨틱스,258540,2014/12,0.417188153084472
331,(주)에스엘테라퓨틱스,258540,2015/12,1.1890934816401877
332,(주)에스엘테라퓨틱스,258540,2016/12,1.8417130326525573
333,(주)에스엘테라퓨틱스,258540,2017/12,3.357834914657557
334,(주)에스엘테라퓨틱스,258540,2018/12,2.235970052592916
335,(주)에스엘테라퓨틱스,258540,2019/12,4.179344530473463
336,(주)에스엘테라퓨틱스,258540,2020/12,4.071093476889397
337,(주)에스엘테라퓨틱스,258540,2021/12,9.595585162642044
338,(주)에스엘테라퓨틱스,258540,2022/12,8.38309882305107
340,(주)에스엠비나,299670,2016/12,0.014968882393132946
341,(주)에스엠비나,299670,2017/12,0.11831525395835596
342,(주)에스엠비나,299670,2018/12,0.2072362769246105
343,(주)에스엠비나,299670,2019/12,0.21745625215921166
344,(주)에스엠비나,299670,2020/12,0.16409451365222621
345,(주)에스엠비나,299670,2021/12,0.6889759923816031
347,(주)에스제이켐,217910,2015/12,0.29051470215597985
348,(주)에스제이켐,217910,2016/12,0.2292218316773936
349,(주)에스제이켐,217910,2017/12,0.2202605461940732
350,(주)에스제이켐,217910,2018/12,0.23253011994148934
351,(주)에스제이켐,217910,2019/12,0.25278425730963183
352,(주)에스제이켐,217910,2020/12,0.26192955250834393
353,(주)에스제이켐,217910,2021/12,0.3044128071040158
354,(주)에스제이켐,217910,2022/12,0.2927449744954575
355,(주)에스케이씨에스,224020,2013/12,0.11238952997577206
356,(주)에스케이씨에스,224020,2014/12,0.0870395002070762
357,(주)에스케이씨에스,224020,2015/12,0.10664585625748566
358,(주)에스케이씨에스,224020,2016/12,0.11174119456065035
359,(주)에스케이씨에스,224020,2017/12,0.1419072761285876
360,(주)에스케이씨에스,224020,2018/12,0.10146082141308115
361,(주)에스케이씨에스,224020,2019/12,0.12425137416990037
362,(주)에스케이씨에스,224020,2020/12,0.12623155509457484
363,(주)에스케이씨에스,224020,2021/12,0.11918953206217237
364,(주)에스케이씨에스,224020,2022/12,0.1705144662549084
365,(주)에이아이더뉴트리진,311960,2017/12,0.6138986791581744
366,(주)에이아이더뉴트리진,311960,2018/12,0.26098242303348024
367,(주)에이아이더뉴트리진,311960,2019/12,0.5928481761971187
368,(주)에이아이더뉴트리진,311960,2021/12,0.3917432832231308
369,(주)에이아이더뉴트리진,311960,2022/12,0.5868161444964575
370,(주)에이원알폼,234070,2013/12,0.9372948105582612
371,(주)에이원알폼,234070,2014/12,0.7552234892114983
372,(주)에이원알폼,234070,2015/12,0.08387793680606032
373,(주)에이원알폼,234070,2016/12,0.06968967109608586
374,(주)에이원알폼,234070,2017/12,0.07678594333871684
375,(주)에이원알폼,234070,2018/12,0.09908669086900865
376,(주)에이원알폼,234070,2019/12,0.11610110943694521
377,(주)에이원알폼,234070,2020/12,0.11669898375764594
378,(주)에이원알폼,234070,2021/12,0.13257675189799742
379,(주)에이원알폼,234070,2022/12,0.09478861591837882
380,(주)엔솔바이오사이언스,140610,2013/12,4.285843896142371
381,(주)엔솔바이오사이언스,140610,2014/12,4.038227099996184
382,(주)엔솔바이오사이언스,140610,2015/12,11.18257025169812
383,(주)엔솔바이오사이언스,140610,2016/12,26.90603660359138
384,(주)엔솔바이오사이언스,140610,2017/12,9.927927793830623
385,(주)엔솔바이오사이언스,140610,2018/12,9.686398611628611
386,(주)엔솔바이오사이언스,140610,2019/12,11.427423164830113
387,(주)엔솔바이오사이언스,140610,2020/12,12.621537525575578
388,(주)엔솔바이오사이언스,140610,2021/12,21.874307470773434
389,(주)엔솔바이오사이언스,140610,2022/12,10.339460044327325
390,(주)엔에스엠,238170,2014/12,0.049168309322600016
391,(주)엔에스엠,238170,2015/12,0.06529292816641818
392,(주)엔에스엠,238170,2016/12,0.06633038978727483
393,(주)엔에스엠,238170,2017/12,0.09244738311320298
394,(주)엔에스엠,238170,2018/12,0.04316771040303776
395,(주)엔에스엠,238170,2019/12,0.08729725839792038
396,(주)엔에스엠,238170,2020/12,0.06244695555059279
397,(주)엔에스엠,238170,2021/12,0.09628282178759245
398,(주)엔에스엠,238170,2022/12,0.09767132919049162
399,(주)엔지브이아이,93510,2013/12,0.06101475180936582
400,(주)엔지브이아이,93510,2014/12,0.07790942394449521
401,(주)엔지브이아이,93510,2018/12,0.18872742454938854
402,(주)엔지브이아이,93510,2019/12,0.21928969678454135
403,(주)엔지브이아이,93510,2020/12,0.30582976935341827
404,(주)엔지브이아이,93510,2021/12,1.1156215273108203
405,(주)엔지브이아이,93510,2022/12,1.4688773485619642
