,회사명,거래소코드,회계년도,영업투자현금비율,영업재무현금비율
4259,(주)에스에이엠지엔터테인먼트,419530,2020/12,-0.03356653241750624,0.027747298718723803
4260,(주)에스에이엠지엔터테인먼트,419530,2021/12,-8.239426925204429,-7.539847777938108
4261,(주)에스에이엠지엔터테인먼트,419530,2022/12,0.3547900318968871,-0.065819897459597
4262,(주)에스에이티이엔지,351320,2020/12,,
4263,(주)에스에이티이엔지,351320,2021/12,-0.8642026841423738,-3.627526120420829
4264,(주)에스에이티이엔지,351320,2022/12,-0.1559728390452235,-0.1464980031546542
4265,(주)에스엘에너지,214310,2012/12,1.0495588089095798,-0.4661474361375885
4266,(주)에스엘에너지,214310,2013/12,-0.7868492292644427,1.99988
4267,(주)에스엘에너지,214310,2014/12,-0.4635973106781267,0.8678328247111016
4268,(주)에스엘에너지,214310,2015/12,-0.3729389393509412,0.605385921125601
4269,(주)에스엘에너지,214310,2016/12,0.18095065721608797,-0.12845260665885577
4270,(주)에스엘에너지,214310,2017/12,-0.7752669751510485,13.50260434323573
4271,(주)에스엘에너지,214310,2018/12,0.06962097875478546,-0.04088336953974281
4272,(주)에스엘에너지,214310,2019/12,-0.18506973279090055,17.682965604657657
4273,(주)에스엘에너지,214310,2020/12,0.24829823003617854,-0.19496327829756918
4274,(주)에스엘에너지,214310,2021/12,0.06932201227340981,-0.0683552603038208
4275,(주)에스엘에너지,214310,2022/12,0.649983537463084,-0.3425713157971707
4276,(주)에스엘에스바이오,246250,2015/12,-0.2855370614769437,0.32905186475874065
4277,(주)에스엘에스바이오,246250,2016/12,-3.3595614104152594,-9.051008674488964
4278,(주)에스엘에스바이오,246250,2017/12,-1.6768819171050644,83.47113230724763
4279,(주)에스엘에스바이오,246250,2018/12,0.15794407807898297,-0.36750794787512325
4280,(주)에스엘에스바이오,246250,2019/12,6.773569912556244,-1.0474084786311861
4281,(주)에스엘에스바이오,246250,2020/12,-1.2517843816729595,-0.9383230755384477
4282,(주)에스엘에스바이오,246250,2021/12,-2.885826298593393,-12.159561575956696
4283,(주)에스엘에스바이오,246250,2022/12,-2.6139077696639044,-1.7204984838210269
4284,(주)에스제이그룹,306040,2016/12,-1.3449516760800404,-14.5155941200353
4285,(주)에스제이그룹,306040,2017/12,-2.1437818102675887,0.951475693059248
4286,(주)에스제이그룹,306040,2018/12,-1.4095501791939933,-9.943820314599838
4287,(주)에스제이그룹,306040,2019/12,-0.9270035901326733,0.519898434591342
4288,(주)에스제이그룹,306040,2020/12,-0.3887671092797036,1.3906409401989055
4289,(주)에스제이그룹,306040,2021/12,-0.9099104830064586,-7.934025307009726
4290,(주)에스제이그룹,306040,2022/12,-4.195400111887123,-2.608787487849265
4291,(주)에스제이엠,123700,2012/12,-2.2765484732406542,-3.655559346341869
4292,(주)에스제이엠,123700,2013/12,-1.5499126009175677,-4.02168500676111
4293,(주)에스제이엠,123700,2014/12,-6.701067159217578,-3.1823282031242646
4294,(주)에스제이엠,123700,2015/12,-3.2204769396560384,-7.265876883432198
4295,(주)에스제이엠,123700,2016/12,-1.007978932274141,-3.8322893801916433
4296,(주)에스제이엠,123700,2017/12,37.070790867063266,-2.3037458144926566
4297,(주)에스제이엠,123700,2018/12,-0.9643310319228282,-5.62648822621965
4298,(주)에스제이엠,123700,2019/12,-1.1906312719260288,-5.148898491670436
4299,(주)에스제이엠,123700,2020/12,3.1347222100364056,-5.663977958887053
4300,(주)에스제이엠,123700,2021/12,0.374263655790285,0.40221765385839836
4301,(주)에스제이엠,123700,2022/12,-0.7667752639725278,-11.67908798664127
4302,(주)에스제이엠홀딩스,25530,2012/12,-5.5780870454635565,-2.6993407564651526
4303,(주)에스제이엠홀딩스,25530,2013/12,-1.124062209228691,-4.2777982133625905
4304,(주)에스제이엠홀딩스,25530,2014/12,-1.6838419939521125,-2.07212127033069
4305,(주)에스제이엠홀딩스,25530,2015/12,-1.4635677886370737,8.175497534784324
4306,(주)에스제이엠홀딩스,25530,2016/12,-0.9048971820431843,-3.6447717566654054
4307,(주)에스제이엠홀딩스,25530,2017/12,3.3318360006405485,-1.5896549280253405
4308,(주)에스제이엠홀딩스,25530,2018/12,-1.0667087643232356,-3.357994669705358
4309,(주)에스제이엠홀딩스,25530,2019/12,-1.562612364855218,-3.5549662033442013
4310,(주)에스제이엠홀딩스,25530,2020/12,2.1373219825016885,-3.8496449695887507
4311,(주)에스제이엠홀딩스,25530,2021/12,0.09868940731006852,0.16105272018085404
4312,(주)에스제이엠홀딩스,25530,2022/12,-0.9675693398883073,-12.388633927145822
4313,(주)에스지글로벌,1380,2012/12,3.820201240148091,1.82788692596573
4314,(주)에스지글로벌,1380,2013/12,2.0227590451268145,-0.28920218813158666
4315,(주)에스지글로벌,1380,2014/12,5.7417907002631585,-1.1829313331411293
4316,(주)에스지글로벌,1380,2015/12,-0.42429740765978696,0.35484536167201935
4317,(주)에스지글로벌,1380,2016/12,-9.860814477112392,-1.0993164285385697
4318,(주)에스지글로벌,1380,2017/12,1.2099651527194524,-0.6029308036563761
4319,(주)에스지글로벌,1380,2018/12,-9.077338241071983,5.985750518162976
4320,(주)에스지글로벌,1380,2019/12,-2.5900163031958106,-1.9350919146938224
4321,(주)에스지글로벌,1380,2020/12,-0.6027069855400703,0.3952298514467635
4322,(주)에스지글로벌,1380,2021/12,-0.4710341758322647,-1.630087736975934
4323,(주)에스지글로벌,1380,2022/12,2.356129753712696,-1.8485524538746392
4324,(주)에스지엔지,40610,2012/12,-0.09340872284049133,0.1332834666808062
4325,(주)에스지엔지,40610,2013/12,-0.9283749559433511,2.2252656479609794
4326,(주)에스지엔지,40610,2014/12,-1.8032717637688962,-1.286598953483328
4327,(주)에스지엔지,40610,2015/12,-0.7520551084786119,2.048777401117576
4328,(주)에스지엔지,40610,2016/12,-1.6875983533809713,-8.511545861643404
4329,(주)에스지엔지,40610,2017/12,-1.5622443363837692,-2.6294673767331282
4330,(주)에스지엔지,40610,2018/12,49.37549991927722,-0.6999976271624365
4331,(주)에스지엔지,40610,2019/12,-3.9713252588231387,10.93086935333801
4332,(주)에스지엔지,40610,2020/12,-0.0023151518032993755,-0.9925448021655808
4333,(주)에스지엔지,40610,2021/12,0.37581672623529666,-0.7015209437833271
4334,(주)에스지엔지,40610,2022/12,-0.755207565201489,-0.6607743629818735
4335,(주)에스코넥,96630,2012/12,-1.5276919584090787,1.4024877592344138
4336,(주)에스코넥,96630,2013/12,-1.417894022219158,0.908997305695605
4337,(주)에스코넥,96630,2014/12,-1.7445876376155247,-4.229283237511002
4338,(주)에스코넥,96630,2015/12,-0.8967954664745752,-2.101176643971874
4339,(주)에스코넥,96630,2016/12,-8.226998342867113,-2.8447557512796933
4340,(주)에스코넥,96630,2017/12,-0.2589506601664099,5.898372839712557
4341,(주)에스코넥,96630,2018/12,-1.2260319367516592,-46.488624436254185
4342,(주)에스코넥,96630,2019/12,-0.8902981660943099,-3.019675925925926
4343,(주)에스코넥,96630,2020/12,2.424929126099349,-0.7241265787600765
4344,(주)에스코넥,96630,2021/12,0.42453090975863383,-0.137866323307603
4345,(주)에스코넥,96630,2022/12,-1.3143963598196058,0.7411907787295586
4346,(주)에스텍파마,41910,2012/12,-0.23583169482806793,0.32124677612172825
4347,(주)에스텍파마,41910,2013/12,-3.4986908272091,-17.352970419238137
4348,(주)에스텍파마,41910,2014/12,-0.5760280173490164,-1.279556836414004
4349,(주)에스텍파마,41910,2015/12,1.0452062410553948,-0.7451680083157814
4350,(주)에스텍파마,41910,2016/12,121.22582364699785,6.636893147215734
4351,(주)에스텍파마,41910,2017/12,5.147199381088263,-1.1715153360790347
4352,(주)에스텍파마,41910,2018/12,7.772786241945341,-1.3010737771071246
4353,(주)에스텍파마,41910,2019/12,0.3669897072206519,-5.1919043999825725
4354,(주)에스텍파마,41910,2020/12,-5.102597862801895,-3.303642616891673
4355,(주)에스텍파마,41910,2021/12,0.10679026940777295,-0.42634889366837464
4356,(주)에스텍파마,41910,2022/12,0.13200442282055708,1.1413640781904535
4357,(주)에스티오,98660,2012/12,-1.964569205475424,2.3607770189922874
4358,(주)에스티오,98660,2013/12,-20.980011547661597,-0.820767218531649
4359,(주)에스티오,98660,2014/12,-0.2651343617216029,0.4963610357591319
4360,(주)에스티오,98660,2015/12,-0.0274213037477135,0.0329116318528879
4361,(주)에스티오,98660,2016/12,-12.22322359192182,-1.1433774101371272
4362,(주)에스티오,98660,2017/12,-5.22224052573271,-2.2981707705120793
4363,(주)에스티오,98660,2018/12,-28.92303875491178,-3.40832149081695
4364,(주)에스티오,98660,2019/12,3.01864635487443,0.7038237512734172
4365,(주)에스티오,98660,2020/12,-0.9083513818148246,5.1982811760432375
4366,(주)에스티오,98660,2021/12,-7.393564510608461,-1.371184328065937
4367,(주)에스티오,98660,2022/12,-2.0737770948149334,-1.2408329896162311
4368,(주)에스티큐브,52020,2012/12,-3.028979386483939,-73.16888052036974
4369,(주)에스티큐브,52020,2013/12,0.4478468537819532,-0.28266253704137095
4370,(주)에스티큐브,52020,2014/12,-0.813870233214435,-0.2665937259042066
4371,(주)에스티큐브,52020,2015/12,2.510305161037963,2.572415698283271
4372,(주)에스티큐브,52020,2016/12,-0.9019818342025275,0.40742753913988267
4373,(주)에스티큐브,52020,2017/12,8.700613999681993,1016.7639807039485
4374,(주)에스티큐브,52020,2018/12,0.2924058052695005,-0.14337984756899627
4375,(주)에스티큐브,52020,2019/12,0.04549337627982607,0.4009769334014818
4376,(주)에스티큐브,52020,2020/12,-1.0494695600410395,-0.9725660564208107
4377,(주)에스티큐브,52020,2021/12,-1.746404928428532,2.438005656974649
4378,(주)에스티큐브,52020,2022/12,0.6044123055392001,-0.31888537728682886
4379,(주)에스피시스템스,317830,2012/12,-1.6021299859122353,1.994651832460733
4380,(주)에스피시스템스,317830,2013/12,6.640910537511934,-0.28319214285714284
